Date,In US dollars per year,,,,
"December 31, 2001",1.1439999999999998e7,,,,
"March 31, 2002",1.967e7,,,,
"June 30, 2002",2.148e7,,,,
"September 30, 2002",3.461e7,,,,
"December 31, 2002",6.502e7,,,,
"March 31, 2003",5.796e7,,,,
"June 30, 2003",8.548e7,,,,
"September 30, 2003",1.0229999999999999e8,,,,
"December 31, 2003",1.2490000000000001e8,,,,
"March 31, 2004",1.712e8,,,,
"June 30, 2004",1.81e8,,,,
"September 30, 2004",1.872e8,,,,
"December 31, 2004",1.88e8,,,,
"March 31, 2005",2.053e8,,,,
"June 30, 2005",2.1800000000000003e8,,,,
"September 30, 2005",2.274e8,,,,
"December 31, 2005",2.347e8,,,,
"March 31, 2006",2.402e8,,,,
"June 30, 2006",2.372e8,,,,
"September 30, 2006",2.3530000000000003e8,,,,
"December 31, 2006",2.3130000000000003e8,,,,
"March 31, 2007",2.3330000000000003e8,,,,
"June 30, 2007",2.388e8,,,,
"September 30, 2007",2.3889999999999997e8,,,,
"December 31, 2007",2.383e8,,,,
"March 31, 2008",2.443e8,,,,
"June 30, 2008",2.513e8,,,,
"September 30, 2008",2.484e8,,,,
"December 31, 2008",2.38e8,,,,
"March 31, 2009",2.495e8,,,,
"June 30, 2009",2.545e8,,,,
"September 30, 2009",2.6030000000000003e8,,,,
"December 31, 2009",2.704e8,,,,
"March 31, 2010",2.862e8,,,,
"June 30, 2010",3.068e8,,,,
"September 30, 2010",3.324e8,,,,
"December 31, 2010",3.461e8,,,,
"March 31, 2011",3.462e8,,,,
"June 30, 2011",3.584e8,,,,
"September 30, 2011",3.764e8,,,,
"December 31, 2011",3.947e8,,,,
"March 31, 2012",4.186e8,,,,
"April 30, 2012",4.3899999999999994e8,,,,
"June 30, 2012",4.3310000000000006e8,,,,
"September 30, 2012",4.561e8,,,,
"December 31, 2012",3.877e8,,,,
"March 31, 2013",3.76e8,,,,
"April 30, 2013",3.981e8,,,,
"June 30, 2013",4.255e8,,,,
"September 30, 2013",4.643e8,,,,
"December 31, 2013",3.918e8,,,,
"March 31, 2014",4.1769999999999994e8,,,,
"April 30, 2014",4.4850000000000006e8,,,,
"June 30, 2014",4.8419999999999994e8,,,,
"September 30, 2014",5.571e8,,,,
"December 31, 2014",4.938e8,,,,
"March 31, 2015",4.942e8,,,,
"April 30, 2015",5.0279999999999994e8,,,,
"June 30, 2015",5.3070000000000006e8,,,,
"September 30, 2015",5.667e8,,,,
"December 31, 2015",4.734e8,,,,
"March 31, 2016",4.841e8,,,,
"April 30, 2016",4.929e8,,,,
"June 30, 2016",4.97e8,,,,
"September 30, 2016",5.561e8,,,,
"December 31, 2016",4.596e8,,,,
"March 31, 2017",4.088e8,,,,
"April 30, 2017",3.921e8,,,,
"June 30, 2017",3.653e8,,,,
"September 30, 2017",3.99e8,,,,
"December 31, 2017",4.755e8,,,,
"March 31, 2018",5.043e8,,,,
"April 30, 2018",5.54e8,,,,
"June 30, 2018",5.758e8,,,,
"September 30, 2018",5.071e8,,,,
"December 31, 2018",4.2380000000000006e8,,,,
"April 30, 2019",4.296e8,,,,
"June 30, 2019",4.3659999999999994e8,,,,
"September 30, 2019",4.444e8,,,,
"December 31, 2019",4.869e8,,,,
"March 31, 2020",0.389e8,,,,
minimum,,average,,maximum,
1.1439999999999998e7,US dollars per year,3.356e8,US dollars per year,5.758e8,US dollars per year
"December 31, 2001",,,,"June 30, 2018",
