Date,Pure Number,,,,
"December 31, 2000",8.482e7,,,,
"March 31, 2001",8.624e7,,,,
"June 30, 2001",8.624e7,,,,
"September 30, 2001",8.482e7,,,,
"December 31, 2001",9.803000000000001e7,,,,
"March 20, 2002",1.049e8,,,,
"March 31, 2002",1.049e8,,,,
"May 17, 2002",1.052e8,,,,
"June 30, 2002",1.069e8,,,,
"August 09, 2002",1.07e8,,,,
"September 30, 2002",1.07e8,,,,
"November 13, 2002",1.071e8,,,,
"December 31, 2002",1.072e8,,,,
"March 19, 2003",1.073e8,,,,
"March 31, 2003",1.089e8,,,,
"May 16, 2003",1.0900000000000001e8,,,,
"June 30, 2003",1.1000000000000001e8,,,,
"August 12, 2003",1.101e8,,,,
"September 30, 2003",1.107e8,,,,
"November 03, 2003",1.107e8,,,,
"December 31, 2003",1.1080000000000001e8,,,,
"March 10, 2004",1.109e8,,,,
"March 31, 2004",1.1120000000000001e8,,,,
"May 20, 2004",1.1120000000000001e8,,,,
"June 30, 2004",1.1220000000000001e8,,,,
"August 12, 2004",1.123e8,,,,
"September 30, 2004",1.123e8,,,,
"November 05, 2004",1.103e8,,,,
"December 31, 2004",1.083e8,,,,
"March 09, 2005",1.072e8,,,,
"March 31, 2005",1.074e8,,,,
"May 20, 2005",1.075e8,,,,
"June 30, 2005",1.0940000000000001e8,,,,
"August 12, 2005",1.095e8,,,,
"September 30, 2005",1.0900000000000001e8,,,,
"November 16, 2005",1.082e8,,,,
"December 31, 2005",1.082e8,,,,
"March 13, 2006",1.081e8,,,,
"March 31, 2006",1.07e8,,,,
"May 30, 2006",1.06e8,,,,
"August 21, 2006",1.051e8,,,,
"September 30, 2006",1.052e8,,,,
"November 13, 2006",1.052e8,,,,
"December 31, 2006",1.054e8,,,,
"February 26, 2007",1.057e8,,,,
"March 31, 2007",1.065e8,,,,
"June 30, 2007",1.07e8,,,,
"July 14, 2007",1.022e8,,,,
"September 30, 2007",1.0089999999999999e8,,,,
"November 12, 2007",1.0009999999999999e8,,,,
"December 29, 2007",9.452e7,,,,
"March 31, 2008",9.488e7,,,,
"May 23, 2008",9.528e7,,,,
"June 30, 2008",9.537000000000001e7,,,,
"August 18, 2008",9.566e7,,,,
"September 30, 2008",9.468e7,,,,
"November 10, 2008",9.469e7,,,,
"March 02, 2009",9.5e7,,,,
"June 01, 2009",9.523999999999999e7,,,,
"July 18, 2009",9.542e7,,,,
"August 24, 2009",9.545e7,,,,
"October 10, 2009",9.466e7,,,,
"November 16, 2009",9.462999999999999e7,,,,
"January 02, 2010",9.362e7,,,,
"February 26, 2010",9.226000000000001e7,,,,
"March 26, 2010",8.785e7,,,,
"April 24, 2010",8.685e7,,,,
"May 28, 2010",8.742000000000001e7,,,,
"July 17, 2010",8.42e7,,,,
"August 23, 2010",8.427e7,,,,
"October 09, 2010",8.401999999999999e7,,,,
"November 15, 2010",8.405e7,,,,
"January 01, 2011",8.196e7,,,,
"February 26, 2011",8.006e7,,,,
"March 23, 2011",7.894e7,,,,
"April 23, 2011",7.785e7,,,,
"May 27, 2011",7.664e7,,,,
"July 16, 2011",7.407e7,,,,
"August 22, 2011",7.373e7,,,,
"October 08, 2011",7.244e7,,,,
"November 14, 2011",7.245e7,,,,
"December 31, 2011",7.28e7,,,,
"February 25, 2012",7.292e7,,,,
"March 21, 2012",7.324e7,,,,
"April 21, 2012",7.344e7,,,,
"May 25, 2012",7.351e7,,,,
"July 14, 2012",7.333e7,,,,
"August 17, 2012",7.333e7,,,,
"October 06, 2012",7.337e7,,,,
"November 08, 2012",7.336e7,,,,
"December 29, 2012",7.338e7,,,,
"February 22, 2013",7.366e7,,,,
"March 28, 2013",7.294e7,,,,
"April 20, 2013",7.296e7,,,,
"May 24, 2013",7.296e7,,,,
"July 13, 2013",7.284e7,,,,
"August 15, 2013",7.284e7,,,,
"October 05, 2013",7.282e7,,,,
"November 07, 2013",7.283e7,,,,
"December 28, 2013",7.284e7,,,,
"February 20, 2014",7.293e7,,,,
"March 18, 2014",7.294e7,,,,
"April 19, 2014",7.295e7,,,,
"May 23, 2014",7.295e7,,,,
"July 12, 2014",7.298e7,,,,
"August 15, 2014",7.298e7,,,,
"October 04, 2014",7.299e7,,,,
"November 07, 2014",7.299e7,,,,
"January 03, 2015",7.307e7,,,,
"February 26, 2015",7.314e7,,,,
"March 25, 2015",7.316e7,,,,
"April 25, 2015",7.317e7,,,,
"May 28, 2015",7.318e7,,,,
"July 18, 2015",7.32e7,,,,
"August 20, 2015",7.322e7,,,,
"October 10, 2015",7.323e7,,,,
"November 12, 2015",7.324e7,,,,
"January 02, 2016",7.331e7,,,,
"February 25, 2016",7.332e7,,,,
"March 23, 2016",7.354e7,,,,
"April 23, 2016",7.354e7,,,,
"May 26, 2016",7.356e7,,,,
"July 16, 2016",7.361e7,,,,
"August 18, 2016",7.364e7,,,,
"October 08, 2016",7.365e7,,,,
"November 10, 2016",7.365e7,,,,
"December 31, 2016",7.375e7,,,,
"February 23, 2017",7.376e7,,,,
"March 20, 2017",7.382e7,,,,
"April 22, 2017",7.384e7,,,,
"May 19, 2017",7.384e7,,,,
"August 11, 2017",7.386e7,,,,
"October 07, 2017",7.388e7,,,,
"November 10, 2017",7.39e7,,,,
"December 30, 2017",7.394e7,,,,
"February 16, 2018",7.398e7,,,,
"March 19, 2018",7.401e7,,,,
"May 18, 2018",7.403e7,,,,
"August 10, 2018",7.408e7,,,,
"November 09, 2018",7.289e7,,,,
"December 29, 2018",7.246e7,,,,
"February 15, 2019",7.167e7,,,,
"March 18, 2019",7.172e7,,,,
"April 20, 2019",7.174e7,,,,
"May 20, 2019",7.174e7,,,,
"July 13, 2019",7.17e7,,,,
"August 09, 2019",7.139e7,,,,
minimum,,average,,maximum,
7.139e7,,8.724e7,,1.123e8,
"August 09, 2019",,,,"September 30, 2004",
