Date,In US dollars per year,,,,
"August 31, 2002",2.4489999999999997e8,,,,
"November 30, 2002",2.901e8,,,,
"February 28, 2003",3.982e8,,,,
"May 31, 2003",4.159e8,,,,
"August 31, 2003",4.982e8,,,,
"November 30, 2003",5.457e8,,,,
"February 29, 2004",5.501e8,,,,
"May 31, 2004",6.283e8,,,,
"August 31, 2004",6.908e8,,,,
"November 30, 2004",7.128e8,,,,
"February 28, 2005",7.995e8,,,,
"May 31, 2005",8.943e8,,,,
"August 31, 2005",9.404999999999999e8,,,,
"November 30, 2005",9.590999999999999e8,,,,
"February 28, 2006",8.19e8,,,,
"May 31, 2006",8.56e8,,,,
"August 31, 2006",9.733e8,,,,
"November 30, 2006",1.0429999999999999e9,,,,
"February 28, 2007",1.27e9,,,,
"May 31, 2007",1.273e9,,,,
"August 31, 2007",1.243e9,,,,
"November 30, 2007",1.34e9,,,,
"February 29, 2008",1.45e9,,,,
"May 31, 2008",1.574e9,,,,
"August 31, 2008",1.692e9,,,,
"November 30, 2008",1.79e9,,,,
"February 28, 2009",1.795e9,,,,
"May 31, 2009",1.77e9,,,,
"August 31, 2009",1.59e9,,,,
"November 30, 2009",1.555e9,,,,
"February 28, 2010",1.543e9,,,,
"May 31, 2010",1.59e9,,,,
"August 31, 2010",1.781e9,,,,
"November 30, 2010",1.871e9,,,,
"February 28, 2011",1.974e9,,,,
"May 31, 2011",2.1110000000000002e9,,,,
"August 31, 2011",2.278e9,,,,
"November 30, 2011",2.385e9,,,,
"February 29, 2012",2.526e9,,,,
"May 31, 2012",2.587e9,,,,
"August 31, 2012",2.554e9,,,,
"November 30, 2012",2.61e9,,,,
"February 28, 2013",3.068e9,,,,
"May 31, 2013",3.189e9,,,,
"August 31, 2013",3.282e9,,,,
"November 30, 2013",3.335e9,,,,
"February 28, 2014",2.904e9,,,,
"May 31, 2014",2.911e9,,,,
"August 31, 2014",2.941e9,,,,
"November 30, 2014",3.021e9,,,,
"February 28, 2015",3.041e9,,,,
"May 31, 2015",3.017e9,,,,
"August 31, 2015",3.054e9,,,,
"November 30, 2015",3.041e9,,,,
"February 29, 2016",3.677e9,,,,
"May 31, 2016",3.78e9,,,,
"August 31, 2016",4.112e9,,,,
"November 30, 2016",4.297e9,,,,
"February 28, 2017",3.81e9,,,,
"May 31, 2017",3.582e9,,,,
"August 31, 2017",3.445e9,,,,
"November 30, 2017",3.564e9,,,,
"February 28, 2018",3.589e9,,,,
"May 31, 2018",3.963e9,,,,
"August 31, 2018",4.0599999999999995e9,,,,
"November 30, 2018",4.2110000000000005e9,,,,
"February 28, 2019",4.472e9,,,,
"May 31, 2019",4.678e9,,,,
"August 31, 2019",4.779e9,,,,
"November 30, 2019",4.861e9,,,,
"February 29, 2020",4.972e9,,,,
"May 31, 2020",4.95e9,,,,
minimum,,average,,maximum,
2.4489999999999997e8,US dollars per year,2.297e9,US dollars per year,4.972e9,US dollars per year
"August 31, 2002",,,,"February 29, 2020",
