Date,Pure Number,,,,
"August 31, 2001",9.345000000000001e8,,,,
"November 15, 2001",9.345000000000001e8,,,,
"November 30, 2001",9.327999999999999e8,,,,
"December 31, 2001",9.356999999999999e8,,,,
"February 28, 2002",9.300000000000001e8,,,,
"March 29, 2002",9.359e8,,,,
"May 31, 2002",9.554e8,,,,
"June 30, 2002",9.571e8,,,,
"August 31, 2002",9.441000000000001e8,,,,
"October 29, 2002",9.353999999999999e8,,,,
"November 30, 2002",9.517e8,,,,
"December 30, 2002",9.276999999999999e8,,,,
"February 28, 2003",9.398e8,,,,
"March 15, 2003",9.397e8,,,,
"May 31, 2003",9.4e8,,,,
"June 13, 2003",9.381e8,,,,
"October 31, 2003",9.348000000000001e8,,,,
"November 30, 2003",9.391e8,,,,
"January 05, 2004",9.401e8,,,,
"February 29, 2004",9.394e8,,,,
"April 02, 2004",9.260999999999999e8,,,,
"June 30, 2004",9.52e8,,,,
"August 31, 2004",9.507e8,,,,
"October 29, 2004",9.577999999999999e8,,,,
"November 30, 2004",9.565e8,,,,
"December 31, 2004",9.571999999999999e8,,,,
"February 28, 2005",9.362e8,,,,
"April 01, 2005",9.174e8,,,,
"May 31, 2005",9.097e8,,,,
"July 01, 2005",8.920999999999999e8,,,,
"August 31, 2005",8.599e8,,,,
"November 30, 2005",8.502000000000001e8,,,,
"December 30, 2005",8.510999999999999e8,,,,
"February 28, 2006",8.436999999999999e8,,,,
"May 31, 2006",8.385e8,,,,
"June 23, 2006",8.291e8,,,,
"August 31, 2006",8.256e8,,,,
"October 12, 2006",8.221e8,,,,
"November 30, 2006",8.148e8,,,,
"December 15, 2006",8.163e8,,,,
"February 28, 2007",7.782e8,,,,
"March 22, 2007",7.785e8,,,,
"May 31, 2007",7.628e8,,,,
"August 31, 2007",7.605e8,,,,
"November 30, 2007",7.544e8,,,,
"December 14, 2007",7.541e8,,,,
"February 29, 2008",7.426e8,,,,
"March 21, 2008",7.428e8,,,,
"May 31, 2008",7.371e8,,,,
"June 20, 2008",7.385e8,,,,
"August 31, 2008",7.312e8,,,,
"October 13, 2008",7.296e8,,,,
"November 30, 2008",7.208e8,,,,
"December 15, 2008",7.209e8,,,,
"March 20, 2009",6.132e8,,,,
"June 19, 2009",6.143e8,,,,
"August 31, 2009",7.129e8,,,,
"October 13, 2009",6.278e8,,,,
"November 30, 2009",7.135e8,,,,
"December 14, 2009",6.324e8,,,,
"February 28, 2010",7.096e8,,,,
"March 19, 2010",7.1e8,,,,
"May 31, 2010",7.052e8,,,,
"June 18, 2010",7.059e8,,,,
"August 31, 2010",6.9e8,,,,
"October 12, 2010",6.965e8,,,,
"November 30, 2010",6.964e8,,,,
"December 13, 2010",6.973e8,,,,
"February 28, 2011",7.022e8,,,,
"March 18, 2011",7.025e8,,,,
"May 31, 2011",6.972e8,,,,
"June 17, 2011",6.959e8,,,,
"August 31, 2011",6.908e8,,,,
"October 11, 2011",6.901e8,,,,
"November 30, 2011",6.926e8,,,,
"December 12, 2011",6.951e8,,,,
"February 29, 2012",6.912e8,,,,
"March 16, 2012",6.916e8,,,,
"May 31, 2012",6.844e8,,,,
"June 22, 2012",6.798e8,,,,
"August 31, 2012",6.768e8,,,,
"October 22, 2012",6.799e8,,,,
"November 30, 2012",6.814e8,,,,
"December 11, 2012",6.838e8,,,,
"February 28, 2013",6.817e8,,,,
"March 14, 2013",6.82e8,,,,
"May 31, 2013",6.769e8,,,,
"June 14, 2013",6.757e8,,,,
"August 31, 2013",6.664e8,,,,
"October 15, 2013",6.66e8,,,,
"November 30, 2013",6.634e8,,,,
"December 06, 2013",6.668e8,,,,
"February 28, 2014",6.623e8,,,,
"March 13, 2014",6.621e8,,,,
"May 31, 2014",6.601e8,,,,
"June 12, 2014",6.599e8,,,,
"August 31, 2014",6.566e8,,,,
"October 14, 2014",6.555e8,,,,
"November 30, 2014",6.54e8,,,,
"December 09, 2014",6.553e8,,,,
"February 28, 2015",6.533e8,,,,
"March 12, 2015",6.531e8,,,,
"May 31, 2015",6.506e8,,,,
"June 11, 2015",6.504e8,,,,
"August 31, 2015",6.5e8,,,,
"October 16, 2015",6.481e8,,,,
"November 30, 2015",6.486e8,,,,
"December 07, 2015",6.509e8,,,,
"February 29, 2016",6.467e8,,,,
"March 10, 2016",6.466e8,,,,
"May 31, 2016",6.447e8,,,,
"June 09, 2016",6.447e8,,,,
"August 31, 2016",6.426e8,,,,
"October 14, 2016",6.422e8,,,,
"November 30, 2016",6.422e8,,,,
"December 12, 2016",6.44e8,,,,
"February 28, 2017",6.411e8,,,,
"March 09, 2017",6.411e8,,,,
"May 31, 2017",6.387e8,,,,
"June 08, 2017",6.388e8,,,,
"August 31, 2017",6.361e8,,,,
"October 12, 2017",6.352e8,,,,
"November 30, 2017",6.353e8,,,,
"December 11, 2017",6.366e8,,,,
"February 28, 2018",6.375e8,,,,
"March 13, 2018",6.423e8,,,,
"March 14, 2018",6.438e8,,,,
"May 31, 2018",6.416e8,,,,
"June 14, 2018",6.414e8,,,,
"August 31, 2018",6.397e8,,,,
"October 10, 2018",6.39e8,,,,
"November 30, 2018",6.38e8,,,,
"December 03, 2018",6.662e8,,,,
"January 22, 2019",6.388e8,,,,
"February 28, 2019",6.386e8,,,,
"March 14, 2019",6.385e8,,,,
"May 31, 2019",6.389e8,,,,
"June 13, 2019",6.378e8,,,,
"May 31, 2020",6.361e8,,,,
minimum,,average,,maximum,
6.132e8,,7.434e8,,9.577999999999999e8,
"March 20, 2009",,,,"October 29, 2004",
