Date,Pure Number,,,,
"February 28, 1986",3.293e8,,,,
"May 31, 1986",3.293e8,,,,
"August 31, 1986",3.249e8,,,,
"November 30, 1986",3.249e8,,,,
"February 28, 1987",3.304e8,,,,
"May 31, 1987",3.374e8,,,,
"August 31, 1987",3.369e8,,,,
"November 30, 1987",3.264e8,,,,
"February 29, 1988",3.262e8,,,,
"May 31, 1988",3.276e8,,,,
"August 31, 1988",3.288e8,,,,
"November 30, 1988",3.308e8,,,,
"February 28, 1989",3.288e8,,,,
"May 31, 1989",3.342e8,,,,
"August 31, 1989",3.338e8,,,,
"November 30, 1989",3.217e8,,,,
"February 28, 1990",3.253e8,,,,
"May 31, 1990",3.305e8,,,,
"August 31, 1990",3.34e8,,,,
"November 30, 1990",3.353e8,,,,
"February 28, 1991",3.405e8,,,,
"May 31, 1991",3.463e8,,,,
"August 31, 1991",3.532e8,,,,
"November 30, 1991",3.541e8,,,,
"February 29, 1992",3.596e8,,,,
"May 31, 1992",3.603e8,,,,
"August 31, 1992",3.615e8,,,,
"November 30, 1992",3.556e8,,,,
"February 28, 1993",3.568e8,,,,
"May 31, 1993",3.596e8,,,,
"August 31, 1993",3.615e8,,,,
"November 30, 1993",3.613e8,,,,
"February 28, 1994",3.658e8,,,,
"May 31, 1994",3.66e8,,,,
"August 31, 1994",3.693e8,,,,
"November 30, 1994",4.8920000000000006e8,,,,
"December 30, 1994",4.9850000000000006e8,,,,
"February 28, 1995",5.0519999999999994e8,,,,
"May 31, 1995",5.135e8,,,,
"August 31, 1995",5.1740000000000006e8,,,,
"November 30, 1995",5.904e8,,,,
"December 29, 1995",5.932e8,,,,
"February 29, 1996",5.944e8,,,,
"May 31, 1996",5.881e8,,,,
"August 31, 1996",5.843e8,,,,
"November 30, 1996",5.794e8,,,,
"December 27, 1996",5.811e8,,,,
"February 28, 1997",5.802e8,,,,
"May 31, 1997",5.908e8,,,,
"August 31, 1997",5.858e8,,,,
"November 30, 1997",5.501e8,,,,
"December 26, 1997",5.491e8,,,,
"February 28, 1998",5.3150000000000006e8,,,,
"May 31, 1998",5.372e8,,,,
"August 31, 1998",5.2569999999999994e8,,,,
"November 30, 1998",4.8710000000000006e8,,,,
"December 31, 1998",4.904e8,,,,
"February 28, 1999",4.881e8,,,,
"May 31, 1999",4.8499999999999994e8,,,,
"August 31, 1999",4.8520000000000006e8,,,,
"November 30, 1999",4.742e8,,,,
"December 31, 1999",4.78e8,,,,
"February 29, 2000",4.7889999999999994e8,,,,
"March 31, 2000",4.7889999999999994e8,,,,
"May 31, 2000",4.8070000000000006e8,,,,
"June 30, 2000",4.8070000000000006e8,,,,
"August 31, 2000",4.8070000000000006e8,,,,
"September 29, 2000",4.8070000000000006e8,,,,
"November 30, 2000",4.819e8,,,,
"January 26, 2001",4.8179999999999994e8,,,,
"February 28, 2001",4.7830000000000006e8,,,,
"March 30, 2001",4.7830000000000006e8,,,,
"May 31, 2001",4.777e8,,,,
"June 29, 2001",4.777e8,,,,
"August 31, 2001",4.744e8,,,,
"September 28, 2001",4.744e8,,,,
"November 30, 2001",4.72e8,,,,
"January 25, 2002",4.7350000000000006e8,,,,
"February 28, 2002",4.7590000000000006e8,,,,
"March 29, 2002",4.7590000000000006e8,,,,
"May 31, 2002",4.8e8,,,,
"June 28, 2002",4.8e8,,,,
"August 31, 2002",4.8e8,,,,
"September 27, 2002",4.7249999999999994e8,,,,
"November 30, 2002",4.639e8,,,,
"January 24, 2003",4.6210000000000006e8,,,,
"February 28, 2003",4.6369999999999994e8,,,,
"March 28, 2003",4.6369999999999994e8,,,,
"May 31, 2003",4.6369999999999994e8,,,,
"June 27, 2003",4.665e8,,,,
"August 31, 2003",4.665e8,,,,
"September 26, 2003",4.68e8,,,,
"January 30, 2004",4.769e8,,,,
"February 29, 2004",4.7750000000000006e8,,,,
"April 02, 2004",4.7750000000000006e8,,,,
"May 31, 2004",4.7750000000000006e8,,,,
"July 02, 2004",4.796e8,,,,
"August 31, 2004",4.7729999999999994e8,,,,
"October 01, 2004",4.7729999999999994e8,,,,
"January 21, 2005",4.8840000000000006e8,,,,
"February 28, 2005",4.8899999999999994e8,,,,
"April 01, 2005",4.8899999999999994e8,,,,
"May 31, 2005",4.9160000000000006e8,,,,
"July 01, 2005",4.9160000000000006e8,,,,
