Date,In US dollars per year,,,,
"December 31, 1984",4.309999999999999e7,,,,
"March 31, 1985",4.51e7,,,,
"June 30, 1985",4.78e7,,,,
"September 30, 1985",5.05e7,,,,
"December 31, 1985",5.42e7,,,,
"March 31, 1986",5.99e7,,,,
"June 30, 1986",6.64e7,,,,
"September 30, 1986",7.28e7,,,,
"December 31, 1986",7.81e7,,,,
"March 31, 1987",8.130000000000001e7,,,,
"June 30, 1987",8.48e7,,,,
"September 30, 1987",8.95e7,,,,
"December 31, 1987",9.33e7,,,,
"March 31, 1988",1.004e8,,,,
"June 30, 1988",1.046e8,,,,
"September 30, 1988",1.078e8,,,,
"December 31, 1988",1.0880000000000001e8,,,,
"March 31, 1989",1.1040000000000001e8,,,,
"June 30, 1989",8.58e7,,,,
"September 30, 1989",8.16e7,,,,
"December 31, 1989",8.09e7,,,,
"March 31, 1990",7.83e7,,,,
"June 30, 1990",1.038e8,,,,
"September 30, 1990",1.095e8,,,,
"December 31, 1990",1.172e8,,,,
"March 31, 1991",1.248e8,,,,
"June 30, 1991",1.317e8,,,,
"September 30, 1991",1.405e8,,,,
"December 31, 1991",1.487e8,,,,
"March 31, 1992",1.574e8,,,,
"June 30, 1992",1.67e8,,,,
"September 30, 1992",1.763e8,,,,
"December 31, 1992",1.835e8,,,,
"March 31, 1993",2.0619999999999997e8,,,,
"June 30, 1993",2.206e8,,,,
"September 30, 1993",2.372e8,,,,
"December 31, 1993",2.539e8,,,,
"March 31, 1994",2.588e8,,,,
"June 30, 1994",2.694e8,,,,
"September 30, 1994",2.811e8,,,,
"December 31, 1994",2.929e8,,,,
"March 31, 1995",3.078e8,,,,
"June 30, 1995",3.314e8,,,,
"September 30, 1995",3.432e8,,,,
"December 31, 1995",3.492e8,,,,
"March 31, 1996",3.504e8,,,,
"June 30, 1996",3.432e8,,,,
"September 30, 1996",3.435e8,,,,
"December 31, 1996",3.935e8,,,,
"March 31, 1997",3.976e8,,,,
"June 30, 1997",6.147e8,,,,
"September 30, 1997",6.225e8,,,,
"December 31, 1997",5.851e8,,,,
"March 31, 1998",6.549e8,,,,
"June 30, 1998",4.551e8,,,,
"September 30, 1998",4.67e8,,,,
"December 31, 1998",4.87e8,,,,
"March 31, 1999",5.2300000000000006e8,,,,
"June 30, 1999",5.5e8,,,,
"September 30, 1999",5.86e8,,,,
"December 31, 1999",5.72e8,,,,
"March 31, 2000",5.32e8,,,,
"June 30, 2000",6.04e8,,,,
"September 30, 2000",6.23e8,,,,
"December 31, 2000",6.87e8,,,,
"March 31, 2001",7.09e8,,,,
"June 30, 2001",6.6e8,,,,
"September 30, 2001",6.9e8,,,,
"December 31, 2001",6.86e8,,,,
"March 31, 2002",6.91e8,,,,
"June 30, 2002",7.5e8,,,,
"September 30, 2002",7.97e8,,,,
"December 31, 2002",8.210000000000001e8,,,,
"March 31, 2003",8.75e8,,,,
"June 30, 2003",9.11e8,,,,
"September 30, 2003",9.08e8,,,,
"December 31, 2003",7.67e8,,,,
"March 31, 2004",8.34e8,,,,
"June 30, 2004",8.44e8,,,,
"September 30, 2004",900000000,,,,
"December 31, 2004",1.265e9,,,,
"March 31, 2005",1.289e9,,,,
"June 30, 2005",1.367e9,,,,
"September 30, 2005",1.529e9,,,,
"December 31, 2005",1.483e9,,,,
"March 31, 2006",1.53e9,,,,
"June 30, 2006",1.602e9,,,,
"September 30, 2006",1.514e9,,,,
"December 31, 2006",1.483e9,,,,
"March 31, 2007",1.524e9,,,,
"June 30, 2007",1.531e9,,,,
"September 30, 2007",1.584e9,,,,
"December 31, 2007",1.634e9,,,,
"March 31, 2008",1.692e9,,,,
"June 30, 2008",1.76e9,,,,
"September 30, 2008",1.44e9,,,,
"December 31, 2008",1.254e9,,,,
"March 31, 2009",1.349e9,,,,
"June 30, 2009",1.18e9,,,,
"September 30, 2009",1.443e9,,,,
"December 31, 2009",1.498e9,,,,
"March 31, 2010",1.565e9,,,,
"June 30, 2010",1.832e9,,,,
"September 30, 2010",2.159e9,,,,
"December 31, 2010",2.328e9,,,,
"March 31, 2011",2.081e9,,,,
"June 30, 2011",1.774e9,,,,
"September 30, 2011",1.82e9,,,,
"December 31, 2011",1.937e9,,,,
"March 31, 2012",2.333e9,,,,
"June 30, 2012",2.542e9,,,,
"September 30, 2012",2.823e9,,,,
"December 31, 2012",2.866e9,,,,
"March 31, 2013",2.973e9,,,,
"June 30, 2013",3.379e9,,,,
"September 30, 2013",3.064e9,,,,
"December 31, 2013",3.158e9,,,,
"March 31, 2014",2.998e9,,,,
"June 30, 2014",2.919e9,,,,
"September 30, 2014",2.923e9,,,,
"December 31, 2014",2.951e9,,,,
"March 31, 2015",2.882e9,,,,
"June 30, 2015",2.645e9,,,,
"September 30, 2015",2.506e9,,,,
"December 31, 2015",2.533e9,,,,
"March 31, 2016",2.601e9,,,,
"June 30, 2016",2.576e9,,,,
"September 30, 2016",2.638e9,,,,
"December 31, 2016",2.659e9,,,,
"March 31, 2017",2.52e9,,,,
"June 30, 2017",2.685e9,,,,
"September 30, 2017",2.772e9,,,,
"December 31, 2017",4.604e9,,,,
"March 31, 2018",4.729e9,,,,
"June 30, 2018",4.848e9,,,,
"September 30, 2018",4.977e9,,,,
"December 31, 2018",2.919e9,,,,
"March 31, 2019",3.13e9,,,,
"June 30, 2019",3.115e9,,,,
"September 30, 2019",3.047e9,,,,
"December 31, 2019",3.303e9,,,,
minimum,,average,,maximum,
4.309999999999999e7,US dollars per year,1.234e9,US dollars per year,4.977e9,US dollars per year
"December 31, 1984",,,,"September 30, 2018",
