Date,Pure Number,,,,
"December 31, 1979",9.587e8,,,,
"December 31, 1980",1.067e9,,,,
"December 31, 1981",1.069e9,,,,
"December 31, 1982",1.0720000000000001e9,,,,
"December 31, 1983",1.173e9,,,,
"March 31, 1984",1.192e9,,,,
"June 30, 1984",1.192e9,,,,
"September 30, 1984",1.192e9,,,,
"December 31, 1984",1.192e9,,,,
"March 31, 1985",1.196e9,,,,
"June 30, 1985",1.196e9,,,,
"September 30, 1985",1.196e9,,,,
"December 31, 1985",1.199e9,,,,
"March 31, 1986",1.199e9,,,,
"June 30, 1986",1.199e9,,,,
"September 30, 1986",1.199e9,,,,
"December 31, 1986",1.205e9,,,,
"March 31, 1987",1.205e9,,,,
"June 30, 1987",1.207e9,,,,
"September 30, 1987",1.213e9,,,,
"December 31, 1987",1.214e9,,,,
"March 31, 1988",1.214e9,,,,
"June 30, 1988",1.214e9,,,,
"September 30, 1988",1.214e9,,,,
"December 31, 1988",1.215e9,,,,
"March 31, 1989",1.216e9,,,,
"June 30, 1989",1.216e9,,,,
"September 30, 1989",1.217e9,,,,
"December 31, 1989",1.218e9,,,,
"March 31, 1990",1.219e9,,,,
"June 30, 1990",1.22e9,,,,
"September 30, 1990",1.221e9,,,,
"December 31, 1990",1.221e9,,,,
"March 31, 1991",1.223e9,,,,
"June 30, 1991",1.223e9,,,,
"September 30, 1991",1.224e9,,,,
"December 31, 1991",1.225e9,,,,
"March 31, 1992",1.229e9,,,,
"June 30, 1992",1.23e9,,,,
"September 30, 1992",1.231e9,,,,
"December 31, 1992",1.236e9,,,,
"March 31, 1993",1.238e9,,,,
"June 30, 1993",1.239e9,,,,
"September 30, 1993",1.239e9,,,,
"December 31, 1993",1.241e9,,,,
"March 31, 1994",1.207e9,,,,
"June 30, 1994",1.206e9,,,,
"September 30, 1994",1.198e9,,,,
"December 31, 1994",1.195e9,,,,
"March 17, 1995",1.193e9,,,,
"March 31, 1995",1.195e9,,,,
"June 30, 1995",1.196e9,,,,
"September 30, 1995",1.188e9,,,,
"December 31, 1995",1.136e9,,,,
"March 18, 1996",1.137e9,,,,
"March 31, 1996",1.138e9,,,,
"June 30, 1996",1.14e9,,,,
"September 30, 1996",1.148e9,,,,
"December 31, 1996",1.103e9,,,,
"March 17, 1997",1.093e9,,,,
"March 31, 1997",1.092e9,,,,
"June 30, 1997",1.096e9,,,,
"September 30, 1997",1.086e9,,,,
"December 31, 1997",1.066e9,,,,
"March 16, 1998",1.069e9,,,,
"March 31, 1998",1.069e9,,,,
"June 30, 1998",1.071e9,,,,
"September 30, 1998",1.071e9,,,,
"December 31, 1998",1.063e9,,,,
"March 15, 1999",1.066e9,,,,
"March 31, 1999",1.069e9,,,,
"June 30, 1999",1.0720000000000001e9,,,,
"September 30, 1999",1.063e9,,,,
"December 31, 1999",1.063e9,,,,
"March 16, 2000",1.06e9,,,,
"March 31, 2000",1.061e9,,,,
"May 03, 2000",1.062e9,,,,
"June 30, 2000",1.061e9,,,,
"August 01, 2000",1.061e9,,,,
"September 30, 2000",1.061e9,,,,
"November 01, 2000",1.061e9,,,,
"December 31, 2000",1.0569999999999999e9,,,,
