Date,In US dollars per year,,,,
"December 31, 1993",2.19e7,,,,
"March 31, 1994",2.59e7,,,,
"June 30, 1994",3.54e7,,,,
"September 30, 1994",4.92e7,,,,
"December 31, 1994",5.13e7,,,,
"March 31, 1995",5.51e7,,,,
"June 30, 1995",5.230000000000001e7,,,,
"September 30, 1995",5.5e7,,,,
"December 31, 1995",7.82e7,,,,
"March 31, 1996",1.792e8,,,,
"June 30, 1996",1.813e8,,,,
"September 30, 1996",1.67e8,,,,
"December 31, 1996",1.561e8,,,,
"March 31, 1997",6.067999999999999e7,,,,
"June 30, 1997",6.644e7,,,,
"September 30, 1997",7.709e7,,,,
"December 31, 1997",80000000,,,,
"March 31, 1998",8.247e7,,,,
"June 30, 1998",8.392e7,,,,
"September 30, 1998",8.297e7,,,,
"December 31, 1998",8.476000000000001e7,,,,
"March 31, 1999",8.528e7,,,,
"June 30, 1999",8.807e7,,,,
"September 30, 1999",8.760999999999999e7,,,,
"December 31, 1999",8.879e7,,,,
"March 31, 2000",9.416e7,,,,
"June 30, 2000",1.034e8,,,,
"September 30, 2000",1.099e8,,,,
"December 31, 2000",1.018e8,,,,
"March 31, 2001",9.577e7,,,,
"June 30, 2001",7.677e7,,,,
"September 30, 2001",6.982e7,,,,
"December 31, 2001",6.817e7,,,,
"March 31, 2002",6.242e7,,,,
"June 30, 2002",6.831e7,,,,
"September 30, 2002",7.19e7,,,,
"December 31, 2002",7.302e7,,,,
"March 31, 2003",7.779e7,,,,
"June 30, 2003",7.968e7,,,,
"September 30, 2003",6.918e7,,,,
"December 31, 2003",7.079e7,,,,
"March 31, 2004",6.283e7,,,,
"June 30, 2004",6.102e7,,,,
"September 30, 2004",5.199e7,,,,
"December 31, 2004",5.484e7,,,,
"March 31, 2005",6.555e7,,,,
"June 30, 2005",7.684e7,,,,
"September 30, 2005",1.0229999999999999e8,,,,
"December 31, 2005",1.149e8,,,,
"March 31, 2006",1.2490000000000001e8,,,,
"June 30, 2006",1.362e8,,,,
"September 30, 2006",1.1220000000000001e8,,,,
"December 31, 2006",1.43e8,,,,
"March 31, 2007",1.667e8,,,,
"June 30, 2007",1.772e8,,,,
"September 30, 2007",2.34e8,,,,
"December 31, 2007",2.2970000000000003e8,,,,
"March 31, 2008",2.348e8,,,,
"June 30, 2008",2.4260000000000003e8,,,,
"September 30, 2008",2.3969999999999997e8,,,,
"December 31, 2008",1.942e8,,,,
"March 31, 2009",1.563e8,,,,
"June 30, 2009",1.332e8,,,,
"September 30, 2009",1.2909999999999999e8,,,,
"December 31, 2009",1.784e8,,,,
"March 31, 2010",2.1629999999999997e8,,,,
"June 30, 2010",2.5950000000000003e8,,,,
"September 30, 2010",3.011e8,,,,
"December 31, 2010",3.158e8,,,,
"March 31, 2011",3.591e8,,,,
"June 30, 2011",3.915e8,,,,
"September 30, 2011",4.139e8,,,,
"December 31, 2011",3.921e8,,,,
"March 31, 2012",3.998e8,,,,
"June 30, 2012",3.357e8,,,,
"September 30, 2012",3.291e8,,,,
"December 31, 2012",3.115e8,,,,
"March 31, 2013",2.813e8,,,,
"June 30, 2013",3.139e8,,,,
"September 30, 2013",2.95e8,,,,
"December 31, 2013",4.1319999999999994e8,,,,
"March 31, 2014",3.858e8,,,,
"June 30, 2014",3.255e8,,,,
"September 30, 2014",3.078e8,,,,
"December 31, 2014",1.333e8,,,,
"March 31, 2015",1.198e8,,,,
"June 30, 2015",1.495e8,,,,
"September 30, 2015",1.421e8,,,,
"December 31, 2015",3.349e8,,,,
"March 31, 2016",5.2e8,,,,
"June 30, 2016",1.53e8,,,,
"September 30, 2016",2.158e8,,,,
"December 31, 2016",6.437e8,,,,
"March 31, 2017",4.667e8,,,,
"June 30, 2017",8.849e8,,,,
"September 30, 2017",8.753e8,,,,
"December 31, 2017",5.485e7,,,,
"March 31, 2018",1.354e8,,,,
"June 30, 2018",3.345e8,,,,
"September 30, 2018",3.456e8,,,,
"December 31, 2018",6.936e8,,,,
"March 31, 2019",6.954e8,,,,
"June 30, 2019",5.471e8,,,,
"September 30, 2019",5.724e8,,,,
"December 31, 2019",5.332e8,,,,
minimum,,average,,maximum,
2.19e7,US dollars per year,2.0659999999999997e8,US dollars per year,8.849e8,US dollars per year
"December 31, 1993",,,,"June 30, 2017",
