Date,Pure Number,,,,
"March 31, 1993",1.184e8,,,,
"June 30, 1993",1.184e8,,,,
"September 30, 1993",1.184e8,,,,
"December 31, 1993",1.184e8,,,,
"March 31, 1994",1.184e8,,,,
"June 30, 1994",1.321e8,,,,
"September 30, 1994",1.321e8,,,,
"December 31, 1994",1.321e8,,,,
"March 31, 1995",1.321e8,,,,
"June 30, 1995",1.321e8,,,,
"September 30, 1995",1.321e8,,,,
"December 31, 1995",1.322e8,,,,
"March 31, 1996",1.322e8,,,,
"June 30, 1996",1.129e8,,,,
"September 30, 1996",1.101e8,,,,
"December 31, 1996",1.101e8,,,,
"January 31, 1998",1.072e8,,,,
"January 31, 1999",9.401999999999999e7,,,,
"December 31, 1999",9.24e7,,,,
"January 31, 2000",9.238e7,,,,
"March 31, 2000",9.155e7,,,,
"April 30, 2000",9.155e7,,,,
"June 30, 2000",9.16e7,,,,
"July 31, 2000",9.161e7,,,,
"September 30, 2000",9.164999999999999e7,,,,
"December 31, 2000",9.164999999999999e7,,,,
"March 31, 2001",9.174e7,,,,
"June 30, 2001",9.175e7,,,,
"July 31, 2001",9.175e7,,,,
"September 30, 2001",9.151999999999999e7,,,,
"October 31, 2001",9.094e7,,,,
"December 31, 2001",9.1e7,,,,
"April 30, 2002",8.321999999999999e7,,,,
"July 31, 2002",8.335000000000001e7,,,,
"October 31, 2002",8.336e7,,,,
"December 31, 2002",8.337999999999999e7,,,,
"April 30, 2003",8.24e7,,,,
"July 31, 2003",8.247e7,,,,
"September 30, 2003",8.228e7,,,,
"February 13, 2004",8.284e7,,,,
"April 30, 2004",8.305e7,,,,
"July 31, 2004",8.314e7,,,,
"October 31, 2004",8.332e7,,,,
"March 09, 2005",9.313e7,,,,
"April 30, 2005",9.314e7,,,,
"July 31, 2005",9.318e7,,,,
"October 31, 2005",9.324e7,,,,
"February 28, 2006",9.446e7,,,,
"April 30, 2006",9.465e7,,,,
"August 01, 2006",9.482e7,,,,
"November 01, 2006",9.497e7,,,,
"February 20, 2007",9.517e7,,,,
"March 31, 2007",9.581e7,,,,
"June 30, 2007",9.553000000000001e7,,,,
"September 30, 2007",9.583e7,,,,
"February 20, 2008",9.141e7,,,,
"March 31, 2008",9.145e7,,,,
"May 01, 2008",9.146000000000001e7,,,,
"June 30, 2008",9.153e7,,,,
"August 01, 2008",9.142e7,,,,
"November 01, 2008",9.121e7,,,,
"February 20, 2009",9.138e7,,,,
"May 01, 2009",9.145e7,,,,
"June 30, 2009",9.154e7,,,,
"August 01, 2009",9.155e7,,,,
"September 30, 2009",9.168e7,,,,
"November 01, 2009",9.168e7,,,,
"December 31, 2009",9.151e7,,,,
"February 19, 2010",9.131e7,,,,
"March 31, 2010",9.134e7,,,,
"April 30, 2010",9.14e7,,,,
"June 30, 2010",9.124e7,,,,
"July 28, 2010",9.130000000000001e7,,,,
"September 30, 2010",9.145e7,,,,
