Date,In US dollars per year,,,,
"December 31, 1984",2.38e7,,,,
"March 31, 1985",2.65e7,,,,
"June 30, 1985",2.9700000000000004e7,,,,
"September 30, 1985",3.07e7,,,,
"December 31, 1985",2.58e7,,,,
"March 31, 1986",1.94e7,,,,
"June 30, 1986",1.1399999999999998e7,,,,
"September 30, 1986",1.6299999999999998e7,,,,
"December 31, 1986",1.78e7,,,,
"March 31, 1987",1.58e7,,,,
"June 30, 1987",1.85e7,,,,
"September 30, 1987",1.45e7,,,,
"December 31, 1987",1.32e7,,,,
"March 31, 1988",1.88e7,,,,
"June 30, 1988",2.2599999999999996e7,,,,
"September 30, 1988",3.19e7,,,,
"December 31, 1988",3.75e7,,,,
"March 31, 1989",4.51e7,,,,
"June 30, 1989",4.63e7,,,,
"September 30, 1989",4.65e7,,,,
"December 31, 1989",4.28e7,,,,
"March 31, 1990",3.43e7,,,,
"June 30, 1990",3.34e7,,,,
"September 30, 1990",2.96e7,,,,
"December 31, 1990",1.71e7,,,,
"March 31, 1991",9.2e6,,,,
"June 30, 1991",4.0999999999999995e6,,,,
"September 30, 1991",1.1e6,,,,
"December 31, 1991",1.03e7,,,,
"March 31, 1992",4.6e6,,,,
"June 30, 1992",-1.77e7,,,,
"September 30, 1992",-3.66e7,,,,
"December 31, 1992",-8.49e7,,,,
"March 31, 1993",-8.42e7,,,,
"June 30, 1993",-70000000,,,,
"September 30, 1993",-5.980000000000001e7,,,,
"December 31, 1993",-3.09e7,,,,
"March 31, 1994",-2.2200000000000004e7,,,,
"June 30, 1994",-8.9e6,,,,
"September 30, 1994",7.4e6,,,,
"December 31, 1994",2.263e7,,,,
"March 31, 1995",1.2629999999999998e7,,,,
"June 30, 1995",9.931e6,,,,
"September 30, 1995",1.303e7,,,,
"December 31, 1995",1.74e7,,,,
"March 31, 1996",2.65e7,,,,
"June 30, 1996",3.75e7,,,,
"September 30, 1996",4.29e7,,,,
"December 31, 1996",3.8e7,,,,
"March 31, 1997",3.95e7,,,,
"June 30, 1997",4.230000000000001e7,,,,
"September 30, 1997",5.17e7,,,,
"December 31, 1997",7.24e7,,,,
"March 31, 1998",9.119999999999999e7,,,,
"June 30, 1998",1.093e8,,,,
"September 30, 1998",1.125e8,,,,
"December 31, 1998",1.244e8,,,,
"March 31, 1999",1.315e8,,,,
"June 30, 1999",1.347e8,,,,
"September 30, 1999",1.442e8,,,,
"December 31, 1999",1.3420000000000001e8,,,,
"March 31, 2000",1.065e8,,,,
"June 30, 2000",7.32e7,,,,
"September 30, 2000",3.42e7,,,,
"December 31, 2000",-8.6e6,,,,
"March 31, 2001",-3.42e7,,,,
"June 30, 2001",-3.95e7,,,,
"September 30, 2001",-2.92e7,,,,
"December 31, 2001",-4.08e7,,,,
"March 31, 2002",-9.28e7,,,,
"June 30, 2002",-1.008e8,,,,
"September 30, 2002",-1.145e8,,,,
"December 31, 2002",-1.202e8,,,,
"March 31, 2003",-9.14e7,,,,
"June 30, 2003",-4.17e7,,,,
"September 30, 2003",-1.35e7,,,,
"December 31, 2003",1.35e7,,,,
"March 31, 2004",2.71e7,,,,
"June 30, 2004",-1.98e7,,,,
"September 30, 2004",1.35e7,,,,
"December 31, 2004",-1.53e7,,,,
"March 31, 2005",-5.309999999999999e7,,,,
"June 30, 2005",-3.4e7,,,,
"September 30, 2005",-1.78e7,,,,
"December 31, 2005",-5.9e6,,,,
"March 31, 2006",-4.5e6,,,,
"June 30, 2006",3.36e7,,,,
"September 30, 2006",-7.4e7,,,,
"December 31, 2006",-5.26e7,,,,
"March 31, 2007",1.6200000000000002e7,,,,
"June 30, 2007",6.8e6,,,,
"September 30, 2007",1.06e8,,,,
"December 31, 2007",1.25e8,,,,
"March 31, 2008",9.8e7,,,,
"June 30, 2008",1.1499999999999999e8,,,,
"September 30, 2008",-5.33e7,,,,
"December 31, 2008",-1.359e8,,,,
"March 31, 2009",-1.178e8,,,,
"June 30, 2009",-1.518e8,,,,
"September 30, 2009",2.23e7,,,,
"December 31, 2009",1.216e8,,,,
"March 31, 2010",1.461e8,,,,
"June 30, 2010",1.756e8,,,,
"September 30, 2010",2.104e8,,,,
"December 31, 2010",2.5099999999999997e8,,,,
"March 31, 2011",3.199e8,,,,
"June 30, 2011",2.901e8,,,,
"September 30, 2011",2.452e8,,,,
"December 31, 2011",2.4500000000000003e8,,,,
"March 31, 2012",2.118e8,,,,
"June 30, 2012",2.5099999999999997e8,,,,
"September 30, 2012",3.365e8,,,,
"December 31, 2012",3.16e8,,,,
"March 31, 2013",3.12e8,,,,
"June 30, 2013",3.48e8,,,,
"September 30, 2013",4.74e8,,,,
"December 31, 2013",5.08e8,,,,
"March 31, 2014",5.65e8,,,,
"June 30, 2014",6.26e8,,,,
"September 30, 2014",5.3499999999999994e8,,,,
"December 31, 2014",6.05e8,,,,
"March 31, 2015",6.6e8,,,,
"June 30, 2015",7.29e8,,,,
"September 30, 2015",8.050000000000001e8,,,,
"December 31, 2015",8.48e8,,,,
"March 31, 2016",8.83e8,,,,
"June 30, 2016",9.09e8,,,,
"September 30, 2016",8.91e8,,,,
"December 31, 2016",7.97e8,,,,
"March 31, 2017",7.06e8,,,,
"June 30, 2017",7.39e8,,,,
"September 30, 2017",7.42e8,,,,
"December 31, 2017",9.6e8,,,,
"March 31, 2018",8.710000000000001e8,,,,
"June 30, 2018",7.71e8,,,,
"September 30, 2018",7.29e8,,,,
"December 31, 2018",4.37e8,,,,
"March 31, 2019",4.37e8,,,,
"June 30, 2019",5.0599999999999994e8,,,,
"September 30, 2019",6.11e8,,,,
"December 31, 2019",7.69e8,,,,
"March 31, 2020",5.33e8,,,,
"June 30, 2020",0.67e8,,,,
minimum,,average,,maximum,
-1.518e8,US dollars per year,1.626e8,US dollars per year,9.6e8,US dollars per year
"June 30, 2009",,,,"December 31, 2017",
