Date,Pure Number,,,,
"December 31, 1979",1.867e7,,,,
"December 31, 1980",1.866e7,,,,
"December 31, 1981",2.731e7,,,,
"December 31, 1982",4.222000000000001e7,,,,
"December 31, 1983",4.305e7,,,,
"March 31, 1984",4.315000000000001e7,,,,
"June 30, 1984",4.315000000000001e7,,,,
"September 30, 1984",4.316e7,,,,
"December 31, 1984",4.304e7,,,,
"March 31, 1985",4.918999999999999e7,,,,
"June 30, 1985",4.929e7,,,,
"September 30, 1985",4.931e7,,,,
"December 31, 1985",4.934e7,,,,
"March 31, 1986",4.944e7,,,,
"June 30, 1986",4.944e7,,,,
"September 30, 1986",4.944e7,,,,
"December 31, 1986",4.954e7,,,,
"March 31, 1987",6.444e7,,,,
"June 30, 1987",6.446e7,,,,
"September 30, 1987",6.525e7,,,,
"December 31, 1987",6.252e7,,,,
"March 31, 1988",6.45e7,,,,
"June 30, 1988",6.308e7,,,,
"September 30, 1988",6.313e7,,,,
"December 31, 1988",6.259e7,,,,
"March 31, 1989",6.343e7,,,,
"June 30, 1989",6.273e7,,,,
"September 30, 1989",6.275e7,,,,
"December 31, 1989",6.192999999999999e7,,,,
"March 31, 1990",5.352e7,,,,
"June 30, 1990",5.357e7,,,,
"September 30, 1990",5.271e7,,,,
"December 31, 1990",5.272e7,,,,
"March 31, 1991",5.276e7,,,,
"June 30, 1991",5.276e7,,,,
"September 30, 1991",5.287e7,,,,
"December 31, 1991",5.292e7,,,,
"March 31, 1992",5.324e7,,,,
"June 30, 1992",5.328e7,,,,
"September 30, 1992",5.328e7,,,,
"December 31, 1992",5.332e7,,,,
"March 31, 1993",5.335e7,,,,
"June 30, 1993",5.337e7,,,,
"September 30, 1993",5.336e7,,,,
"December 31, 1993",5.337e7,,,,
"March 31, 1994",5.341e7,,,,
"June 30, 1994",5.347000000000001e7,,,,
"September 30, 1994",5.348e7,,,,
"December 31, 1994",5.36e7,,,,
"March 31, 1995",5.361e7,,,,
"June 30, 1995",5.376e7,,,,
"September 30, 1995",5.424000000000001e7,,,,
"December 31, 1995",5.426e7,,,,
"March 31, 1996",5.533e7,,,,
"June 30, 1996",5.785999999999999e7,,,,
"September 30, 1996",5.785999999999999e7,,,,
"December 31, 1996",5.79e7,,,,
"March 31, 1997",5.823000000000001e7,,,,
"June 30, 1997",5.831000000000001e7,,,,
"September 30, 1997",5.899e7,,,,
"December 31, 1997",7.313e7,,,,
"March 31, 1998",8.126e7,,,,
"June 30, 1998",1.048e8,,,,
"September 30, 1998",1.049e8,,,,
"December 31, 1998",1.049e8,,,,
"March 31, 1999",1.055e8,,,,
"June 30, 1999",1.055e8,,,,
"September 30, 1999",1.056e8,,,,
"December 31, 1999",1.056e8,,,,
"March 31, 2000",1.058e8,,,,
"June 30, 2000",1.058e8,,,,
"September 30, 2000",1.058e8,,,,
"December 31, 2000",1.058e8,,,,
"March 31, 2001",1.059e8,,,,
"June 30, 2001",1.06e8,,,,
"September 30, 2001",1.061e8,,,,
"December 31, 2001",1.061e8,,,,
"March 31, 2002",1.062e8,,,,
"June 30, 2002",1.062e8,,,,
"July 31, 2002",1.062e8,,,,
"September 30, 2002",1.062e8,,,,
"October 31, 2002",1.062e8,,,,
"December 31, 2002",1.063e8,,,,
"March 31, 2003",1.064e8,,,,
"June 30, 2003",1.066e8,,,,
"July 31, 2003",1.066e8,,,,
"September 30, 2003",1.068e8,,,,
"October 31, 2003",1.068e8,,,,
"December 31, 2003",1.07e8,,,,
"March 31, 2004",1.072e8,,,,
"June 30, 2004",1.182e8,,,,
"September 30, 2004",1.075e8,,,,
"December 31, 2004",1.085e8,,,,
"March 31, 2005",1.087e8,,,,
"June 30, 2005",1.089e8,,,,
"September 30, 2005",1.1040000000000001e8,,,,
"December 31, 2005",1.3380000000000001e8,,,,
"March 31, 2006",1.3400000000000001e8,,,,
"June 30, 2006",1.595e8,,,,
"September 30, 2006",1.601e8,,,,
"December 31, 2006",1.612e8,,,,
"March 31, 2007",1.618e8,,,,
"June 30, 2007",1.619e8,,,,
"September 30, 2007",1.612e8,,,,
"December 31, 2007",1.522e8,,,,
