Date,In US dollars per year,,,,
"December 31, 1984",-4.32e7,,,,
"March 31, 1985",-4.37e7,,,,
"June 30, 1985",-3.95e7,,,,
"September 30, 1985",-3.48e7,,,,
"December 31, 1985",2.7799999999999996e7,,,,
"March 31, 1986",2.82e7,,,,
"June 30, 1986",2.7799999999999996e7,,,,
"September 30, 1986",2.71e7,,,,
"December 31, 1986",2.8e7,,,,
"March 31, 1987",2.85e7,,,,
"June 30, 1987",2.45e7,,,,
"September 30, 1987",2.16e7,,,,
"December 31, 1987",1.54e7,,,,
"March 31, 1988",1.1399999999999998e7,,,,
"June 30, 1988",1.28e7,,,,
"September 30, 1988",1.45e7,,,,
"December 31, 1988",1.89e7,,,,
"March 31, 1989",2.04e7,,,,
"June 30, 1989",2.06e7,,,,
"September 30, 1989",1.5e7,,,,
"December 31, 1989",-5000000,,,,
"March 31, 1990",-5.8e6,,,,
"June 30, 1990",-800000,,,,
"September 30, 1990",9.8e6,,,,
"December 31, 1990",3.04e7,,,,
"March 31, 1991",2.46e7,,,,
"June 30, 1991",1.3799999999999998e7,,,,
"September 30, 1991",9.2e6,,,,
"December 31, 1991",5000000,,,,
"March 31, 1992",1.18e7,,,,
"June 30, 1992",2.29e7,,,,
"September 30, 1992",2.57e7,,,,
"December 31, 1992",-1.7e7,,,,
"March 31, 1993",-9.9e6,,,,
"June 30, 1993",-7.6e6,,,,
"September 30, 1993",-6.3e6,,,,
"December 31, 1993",4.268e7,,,,
"March 31, 1994",4.538e7,,,,
"June 30, 1994",4.824e7,,,,
"September 30, 1994",5.287e7,,,,
"December 31, 1994",5.735e7,,,,
"March 31, 1995",60000000,,,,
"June 30, 1995",6.207e7,,,,
"September 30, 1995",5.939e7,,,,
"December 31, 1995",6.141e7,,,,
"March 31, 1996",6.039e7,,,,
"June 30, 1996",5.91e7,,,,
"September 30, 1996",6.418e7,,,,
"December 31, 1996",6.542e7,,,,
"March 31, 1997",6.799e7,,,,
"June 30, 1997",1.57e8,,,,
"September 30, 1997",1.545e8,,,,
"December 31, 1997",1.538e8,,,,
"March 31, 1998",1.441e8,,,,
"June 30, 1998",4.897e7,,,,
"September 30, 1998",4.996000000000001e7,,,,
"December 31, 1998",4.449e7,,,,
"March 31, 1999",4.572e7,,,,
"June 30, 1999",4.7e7,,,,
"September 30, 1999",4.839000000000001e7,,,,
"December 31, 1999",4.242e7,,,,
"March 31, 2000",4.563e7,,,,
"June 30, 2000",4.928e7,,,,
"September 30, 2000",4.575e7,,,,
"December 31, 2000",2.975e7,,,,
"March 31, 2001",2.367e7,,,,
"June 30, 2001",1.68e7,,,,
"September 30, 2001",8.353e6,,,,
"December 31, 2001",1.45e7,,,,
"March 31, 2002",1.81e7,,,,
"June 30, 2002",2.539e7,,,,
"September 30, 2002",3.503e7,,,,
"December 31, 2002",5.135e7,,,,
"March 31, 2003",5.293e7,,,,
"June 30, 2003",5.474e7,,,,
"September 30, 2003",5.072e7,,,,
"December 31, 2003",5.211e7,,,,
"March 31, 2004",4.92e7,,,,
"June 30, 2004",4.67e7,,,,
"September 30, 2004",4.37e7,,,,
"December 31, 2004",3.55e7,,,,
"March 31, 2005",3.9e7,,,,
"June 30, 2005",2.82e7,,,,
"September 30, 2005",3.49e7,,,,
"December 31, 2005",4.65e7,,,,
"March 31, 2006",4.769999999999999e7,,,,
"June 30, 2006",6.63e7,,,,
"September 30, 2006",7.36e7,,,,
"December 31, 2006",7.65e7,,,,
"March 31, 2007",8.05e7,,,,
"June 30, 2007",8.24e7,,,,
"September 30, 2007",9.01e7,,,,
"December 31, 2007",8.82e7,,,,
"March 31, 2008",9.06e7,,,,
"June 30, 2008",7.31e7,,,,
"September 30, 2008",6.98e7,,,,
"December 31, 2008",5.95e7,,,,
"March 31, 2009",4.03e7,,,,
"June 30, 2009",5.21e7,,,,
"September 30, 2009",6.53e7,,,,
"December 31, 2009",8.130000000000001e7,,,,
"March 31, 2010",1.095e8,,,,
"June 30, 2010",1.048e8,,,,
"September 30, 2010",1.022e8,,,,
"December 31, 2010",1.117e8,,,,
"March 31, 2011",1.218e8,,,,
"June 30, 2011",1.555e8,,,,
"September 30, 2011",3.058e8,,,,
"December 31, 2011",3.057e8,,,,
"March 31, 2012",3.122e8,,,,
