Date,Pure Number,,,,
"March 31, 1993",1.843e8,,,,
"June 30, 1993",1.85e8,,,,
"September 30, 1993",1.952e8,,,,
"December 31, 1993",1.861e8,,,,
"March 31, 1994",1.952e8,,,,
"June 30, 1994",1.88e8,,,,
"September 30, 1994",1.881e8,,,,
"December 31, 1994",1.881e8,,,,
"February 22, 1995",1.882e8,,,,
"March 31, 1995",1.882e8,,,,
"June 30, 1995",1.882e8,,,,
"September 30, 1995",1.882e8,,,,
"December 31, 1995",1.883e8,,,,
"February 28, 1996",1.883e8,,,,
"March 31, 1996",1.883e8,,,,
"September 30, 1996",1.883e8,,,,
"December 31, 1996",1.885e8,,,,
"February 28, 1997",1.789e8,,,,
"March 31, 1997",1.714e8,,,,
"June 30, 1997",1.582e8,,,,
"September 30, 1997",1.531e8,,,,
"December 31, 1997",1.466e8,,,,
"February 25, 1998",1.44e8,,,,
"March 31, 1998",1.416e8,,,,
"June 30, 1998",1.417e8,,,,
"September 30, 1998",1.397e8,,,,
"December 31, 1998",1.397e8,,,,
"February 24, 1999",1.395e8,,,,
"March 31, 1999",1.391e8,,,,
"June 30, 1999",1.393e8,,,,
"September 30, 1999",1.404e8,,,,
"December 31, 1999",1.404e8,,,,
"January 31, 2000",1.404e8,,,,
"March 31, 2000",1.405e8,,,,
"June 30, 2000",1.405e8,,,,
"September 30, 2000",1.394e8,,,,
"December 31, 2000",1.413e8,,,,
"January 31, 2001",1.413e8,,,,
"March 31, 2001",1.415e8,,,,
"June 30, 2001",1.425e8,,,,
"September 30, 2001",1.427e8,,,,
"December 31, 2001",1.413e8,,,,
"January 31, 2002",1.428e8,,,,
"March 31, 2002",1.431e8,,,,
"June 30, 2002",1.718e8,,,,
"September 30, 2002",1.737e8,,,,
"December 31, 2002",1.742e8,,,,
"January 31, 2003",1.742e8,,,,
"March 31, 2003",1.743e8,,,,
"June 30, 2003",1.748e8,,,,
"September 30, 2003",1.752e8,,,,
"December 31, 2003",1.755e8,,,,
"January 31, 2004",1.757e8,,,,
"March 31, 2004",1.764e8,,,,
"June 30, 2004",1.766e8,,,,
"September 30, 2004",1.769e8,,,,
"December 31, 2004",1.78e8,,,,
"January 31, 2005",1.78e8,,,,
"March 31, 2005",1.781e8,,,,
"June 30, 2005",1.801e8,,,,
"September 30, 2005",1.805e8,,,,
"December 31, 2005",1.825e8,,,,
"January 31, 2006",1.827e8,,,,
"March 31, 2006",1.834e8,,,,
"June 30, 2006",1.838e8,,,,
"September 30, 2006",1.84e8,,,,
"December 31, 2006",1.841e8,,,,
"January 31, 2007",1.843e8,,,,
"March 31, 2007",1.848e8,,,,
"June 30, 2007",1.846e8,,,,
"September 30, 2007",1.852e8,,,,
"December 31, 2007",1.803e8,,,,
"January 31, 2008",1.803e8,,,,
"March 31, 2008",1.803e8,,,,
"June 30, 2008",1.803e8,,,,
"July 31, 2008",1.805e8,,,,
"October 28, 2008",1.807e8,,,,
"January 30, 2009",1.811e8,,,,
"April 30, 2009",1.813e8,,,,
"June 30, 2009",1.944e8,,,,
"July 31, 2009",1.809e8,,,,
"September 30, 2009",1.944e8,,,,
"October 30, 2009",1.821e8,,,,
"December 31, 2009",1.821e8,,,,
"January 29, 2010",1.822e8,,,,
"February 15, 2010",1.822e8,,,,
"March 31, 2010",1.944e8,,,,
"April 30, 2010",1.831e8,,,,
"June 30, 2010",1.944e8,,,,
"July 30, 2010",1.831e8,,,,
"September 30, 2010",2.245e8,,,,
"October 29, 2010",2.1309999999999997e8,,,,
"December 31, 2010",2.1309999999999997e8,,,,
"January 31, 2011",2.132e8,,,,
"February 21, 2011",1.837e8,,,,
"March 31, 2011",2.206e8,,,,
"April 30, 2011",2.145e8,,,,
"June 30, 2011",2.197e8,,,,
"July 31, 2011",2.137e8,,,,
"September 30, 2011",2.197e8,,,,
"October 31, 2011",2.14e8,,,,
"December 31, 2011",2.122e8,,,,
"January 31, 2012",2.105e8,,,,
"February 20, 2012",1.85e8,,,,
"March 31, 2012",2.174e8,,,,
"April 30, 2012",2.12e8,,,,
"June 30, 2012",2.174e8,,,,
"July 31, 2012",2.113e8,,,,
"September 30, 2012",2.173e8,,,,
"October 31, 2012",2.112e8,,,,
"December 31, 2012",1.849e8,,,,
"January 31, 2013",1.849e8,,,,
"February 18, 2013",1.852e8,,,,
"March 31, 2013",1.848e8,,,,
"April 30, 2013",1.854e8,,,,
"June 30, 2013",1.849e8,,,,
"July 31, 2013",1.85e8,,,,
"September 30, 2013",1.849e8,,,,
"October 31, 2013",1.824e8,,,,
"December 31, 2013",1.825e8,,,,
"January 31, 2014",1.825e8,,,,
"February 17, 2014",1.828e8,,,,
"March 31, 2014",1.825e8,,,,
"April 30, 2014",1.812e8,,,,
"June 30, 2014",1.825e8,,,,
"July 31, 2014",1.801e8,,,,
"September 30, 2014",1.825e8,,,,
"October 28, 2014",1.791e8,,,,
"December 31, 2014",1.788e8,,,,
"February 10, 2015",1.787e8,,,,
"February 17, 2015",1.788e8,,,,
"March 31, 2015",1.788e8,,,,
"April 30, 2015",1.784e8,,,,
"June 30, 2015",1.788e8,,,,
"August 05, 2015",1.778e8,,,,
"September 30, 2015",1.788e8,,,,
"October 30, 2015",1.76e8,,,,
"December 31, 2015",1.759e8,,,,
"February 10, 2016",1.756e8,,,,
"February 16, 2016",1.758e8,,,,
"March 31, 2016",1.759e8,,,,
"May 03, 2016",1.751e8,,,,
"June 30, 2016",1.759e8,,,,
"August 02, 2016",1.745e8,,,,
"September 30, 2016",1.759e8,,,,
"October 31, 2016",1.739e8,,,,
"December 31, 2016",1.734e8,,,,
"February 13, 2017",1.732e8,,,,
"February 21, 2017",1.735e8,,,,
"March 31, 2017",1.733e8,,,,
"May 02, 2017",1.73e8,,,,
"June 30, 2017",1.734e8,,,,
"August 02, 2017",1.725e8,,,,
"September 30, 2017",1.734e8,,,,
"October 31, 2017",1.719e8,,,,
"December 31, 2017",1.717e8,,,,
"February 12, 2018",1.715e8,,,,
"February 20, 2018",1.715e8,,,,
"March 31, 2018",1.717e8,,,,
"April 30, 2018",1.711e8,,,,
"June 30, 2018",1.717e8,,,,
"July 31, 2018",1.706e8,,,,
"September 30, 2018",1.717e8,,,,
"October 31, 2018",1.7e8,,,,
"December 31, 2018",1.717e8,,,,
"January 31, 2019",1.679e8,,,,
"February 19, 2019",1.679e8,,,,
"March 31, 2019",1.717e8,,,,
"April 30, 2019",1.672e8,,,,
"June 30, 2019",1.717e8,,,,
"July 31, 2019",1.644e8,,,,
minimum,,average,,maximum,
1.391e8,,1.781e8,,2.245e8,
"March 31, 1999",,,,"September 30, 2010",
