Date,In US dollars per year,,,,
"June 30, 1993",-2.6e6,,,,
"September 30, 1993",-1.4e6,,,,
"December 31, 1993",-500000,,,,
"March 31, 1994",-2000000,,,,
"June 30, 1994",-3000000,,,,
"September 30, 1994",-4.0999999999999995e6,,,,
"December 31, 1994",-3.2e6,,,,
"March 31, 1995",-1.52e6,,,,
"June 30, 1995",-5.148e6,,,,
"September 30, 1995",-1.783e6,,,,
"December 31, 1995",-1.135e6,,,,
"March 31, 1996",5.53e6,,,,
"June 30, 1996",8.427e6,,,,
"September 30, 1996",6.998e6,,,,
"December 31, 1996",9.17e6,,,,
"March 31, 1997",7.6e6,,,,
"June 30, 1997",4.817e6,,,,
"September 30, 1997",5.318e6,,,,
"December 31, 1997",1.05e7,,,,
"March 31, 1998",5.162e6,,,,
"June 30, 1998",6.832e6,,,,
"September 30, 1998",2.79e6,,,,
"December 31, 1998",9.226e6,,,,
"March 31, 1999",1.482e7,,,,
"June 30, 1999",1.416e7,,,,
"September 30, 1999",1.747e7,,,,
"December 31, 1999",2.403e7,,,,
"March 31, 2000",-3.389e7,,,,
"June 30, 2000",-3.467e7,,,,
"September 30, 2000",-3.146e7,,,,
"December 31, 2000",-3.326e7,,,,
"March 31, 2001",2.051e7,,,,
"June 30, 2001",2.572e7,,,,
"September 30, 2001",2.362e7,,,,
"December 31, 2001",4.223e7,,,,
"March 31, 2002",5.224e7,,,,
"June 30, 2002",7.291e7,,,,
"September 30, 2002",7.978e7,,,,
"December 31, 2002",8.502e7,,,,
"March 31, 2003",6.618e7,,,,
"June 30, 2003",4.964000000000001e7,,,,
"September 30, 2003",3.046e7,,,,
"December 31, 2003",6.309e7,,,,
"March 31, 2004",7.772e7,,,,
"June 30, 2004",8.551e7,,,,
"September 30, 2004",1.2110000000000001e8,,,,
"December 31, 2004",1.414e8,,,,
"March 31, 2005",1.351e8,,,,
"June 30, 2005",1.195e8,,,,
"September 30, 2005",7.974e7,,,,
"December 31, 2005",5.034e7,,,,
"March 31, 2006",4.091e7,,,,
"June 30, 2006",2.6190000000000004e7,,,,
"September 30, 2006",1.6120000000000002e7,,,,
"December 31, 2006",9.108e7,,,,
"March 31, 2007",8.579e7,,,,
"June 30, 2007",1.319e8,,,,
"September 30, 2007",1.569e8,,,,
"December 31, 2007",1.0009999999999999e8,,,,
"March 31, 2008",1.587e8,,,,
"June 30, 2008",1.899e8,,,,
"September 30, 2008",8.118e7,,,,
"December 31, 2008",-7.582e7,,,,
"March 31, 2009",6.902e7,,,,
"June 30, 2009",2.0499999999999997e8,,,,
"September 30, 2009",3.28e8,,,,
"December 31, 2009",1.1299999999999999e8,,,,
"March 31, 2010",3.05e8,,,,
"June 30, 2010",3.29e8,,,,
"September 30, 2010",3.65e8,,,,
"December 31, 2010",4.18e8,,,,
"March 31, 2011",5.4e8,,,,
"June 30, 2011",6.56e8,,,,
"September 30, 2011",7.53e8,,,,
"December 31, 2011",1.085e9,,,,
"March 31, 2012",9.66e8,,,,
"June 30, 2012",8.16e8,,,,
"September 30, 2012",8.94e8,,,,
"December 31, 2012",1.149e9,,,,
"March 31, 2013",1.221e9,,,,
"June 30, 2013",1.36e9,,,,
"September 30, 2013",1.19e9,,,,
"December 31, 2013",1.0089999999999999e9,,,,
"March 31, 2014",8.460000000000001e8,,,,
"June 30, 2014",7.26e8,,,,
"September 30, 2014",6.47e8,,,,
"December 31, 2014",8.35e8,,,,
"March 31, 2015",9.36e8,,,,
"June 30, 2015",9.44e8,,,,
"September 30, 2015",1.094e9,,,,
"December 31, 2015",8.92e8,,,,
"March 31, 2016",8.61e8,,,,
"June 30, 2016",800000000,,,,
"September 30, 2016",8.720000000000001e8,,,,
"December 31, 2016",9.66e8,,,,
"March 31, 2017",1.0289999999999999e9,,,,
"June 30, 2017",1.121e9,,,,
"September 30, 2017",1.11e9,,,,
"December 31, 2017",2.72e8,,,,
"March 31, 2018",3.46e8,,,,
"June 30, 2018",5.05e8,,,,
"September 30, 2018",5.77e8,,,,
"December 31, 2018",1.848e9,,,,
"March 31, 2019",1.795e9,,,,
"June 30, 2019",1.721e9,,,,
"September 30, 2019",1.665e9,,,,
"December 31, 2019",1.504e9,,,,
"March 31, 2020",1.562e9,,,,
minimum,,average,,maximum,
-7.582e7,US dollars per year,3.748e8,US dollars per year,1.848e9,US dollars per year
"December 31, 2008",,,,"December 31, 2018",
