Date,Pure Number,,,,
"June 30, 1992",1.125e8,,,,
"September 30, 1992",1.125e8,,,,
"December 31, 1992",1.125e8,,,,
"March 31, 1993",1.347e8,,,,
"June 30, 1993",1.347e8,,,,
"September 30, 1993",1.347e8,,,,
"December 31, 1993",1.659e8,,,,
"March 31, 1994",1.659e8,,,,
"June 30, 1994",1.661e8,,,,
"September 30, 1994",1.661e8,,,,
"December 31, 1994",1.666e8,,,,
"March 31, 1995",1.7e8,,,,
"June 22, 1995",1.702e8,,,,
"June 30, 1995",1.699e8,,,,
"September 30, 1995",1.703e8,,,,
"December 31, 1995",1.645e8,,,,
"March 31, 1996",1.648e8,,,,
"June 30, 1996",1.659e8,,,,
"July 02, 1996",1.662e8,,,,
"September 30, 1996",1.666e8,,,,
"December 31, 1996",1.675e8,,,,
"March 31, 1997",1.695e8,,,,
"June 10, 1997",1.703e8,,,,
"June 30, 1997",1.713e8,,,,
"September 30, 1997",1.868e8,,,,
"December 31, 1997",2.255e8,,,,
"March 31, 1998",2.278e8,,,,
"June 12, 1998",2.282e8,,,,
"June 30, 1998",2.399e8,,,,
"September 30, 1998",2.638e8,,,,
"December 31, 1998",2.6789999999999997e8,,,,
"March 31, 1999",2.709e8,,,,
"June 25, 1999",2.758e8,,,,
"June 30, 1999",2.794e8,,,,
"September 30, 1999",2.994e8,,,,
"December 31, 1999",3.015e8,,,,
"February 10, 2000",3.065e8,,,,
"March 31, 2000",3.054e8,,,,
"June 19, 2000",2.842e8,,,,
"June 30, 2000",2.829e8,,,,
"August 08, 2000",2.836e8,,,,
"September 30, 2000",2.911e8,,,,
"November 09, 2000",2.932e8,,,,
"December 31, 2000",2.956e8,,,,
"February 09, 2001",3.154e8,,,,
"March 31, 2001",3.269e8,,,,
"June 13, 2001",3.864e8,,,,
"June 30, 2001",3.972e8,,,,
"August 09, 2001",3.988e8,,,,
"September 30, 2001",3.992e8,,,,
"November 05, 2001",4.163e8,,,,
"December 31, 2001",4.282e8,,,,
"February 08, 2002",4.3419999999999994e8,,,,
"March 31, 2002",4.532e8,,,,
"June 18, 2002",5.329e8,,,,
"June 30, 2002",5.324e8,,,,
"August 02, 2002",5.338e8,,,,
"September 30, 2002",5.351e8,,,,
"October 23, 2002",5.3659999999999994e8,,,,
"December 31, 2002",5.218e8,,,,
"January 23, 2003",5.293e8,,,,
"March 31, 2003",4.8019999999999994e8,,,,
"June 09, 2003",4.686e8,,,,
"June 30, 2003",4.692e8,,,,
"July 25, 2003",4.699e8,,,,
"September 30, 2003",4.716e8,,,,
"November 04, 2003",4.729e8,,,,
"December 31, 2003",4.758e8,,,,
"February 06, 2004",4.801e8,,,,
"March 31, 2004",4.883e8,,,,
"May 26, 2004",4.9059999999999994e8,,,,
"June 30, 2004",4.9160000000000006e8,,,,
"July 26, 2004",4.92e8,,,,
"September 30, 2004",4.939e8,,,,
"November 01, 2004",4.947e8,,,,
"December 31, 2004",5.03e8,,,,
"February 01, 2005",5.0599999999999994e8,,,,
"March 31, 2005",5.361e8,,,,
"May 31, 2005",5.38e8,,,,
"June 30, 2005",5.414e8,,,,
"July 29, 2005",5.43e8,,,,
"September 30, 2005",5.469e8,,,,
"October 28, 2005",5.474e8,,,,
"December 31, 2005",5.519e8,,,,
"February 03, 2006",5.531e8,,,,
"March 31, 2006",5.54e8,,,,
"May 31, 2006",5.558e8,,,,
"June 30, 2006",5.606e8,,,,
"July 31, 2006",5.607e8,,,,
"September 30, 2006",5.666e8,,,,
"December 31, 2006",5.666e8,,,,
"March 31, 2007",5.666e8,,,,
"June 30, 2007",5.71e8,,,,
"September 30, 2007",5.826e8,,,,
"December 31, 2007",5.874e8,,,,
"February 04, 2008",5.878e8,,,,
"March 31, 2008",5.893e8,,,,
"May 20, 2008",5.935e8,,,,
"June 30, 2008",5.965e8,,,,
"August 01, 2008",1.318e9,,,,
"September 30, 2008",1.324e9,,,,
"October 31, 2008",1.324e9,,,,
"February 19, 2009",1.307e9,,,,
"May 01, 2009",1.287e9,,,,
"June 30, 2009",1.282e9,,,,
"July 31, 2009",1.272e9,,,,
"September 30, 2009",1.267e9,,,,
"October 15, 2009",1.268e9,,,,
"October 30, 2009",1.268e9,,,,
"December 31, 2009",1.25e9,,,,
"February 22, 2010",1.25e9,,,,
"March 31, 2010",1.243e9,,,,
"April 01, 2010",1.243e9,,,,
"April 30, 2010",1.244e9,,,,
"June 30, 2010",1.224e9,,,,
"July 30, 2010",1.224e9,,,,
"September 30, 2010",1.206e9,,,,
"October 29, 2010",1.206e9,,,,
"December 31, 2010",1.183e9,,,,
"February 18, 2011",1.182e9,,,,
"March 31, 2011",1.153e9,,,,
"April 01, 2011",1.153e9,,,,
"April 05, 2011",1.151e9,,,,
"May 02, 2011",1.144e9,,,,
"June 30, 2011",1.142e9,,,,
"July 29, 2011",1.143e9,,,,
"September 30, 2011",1.143e9,,,,
"November 01, 2011",1.144e9,,,,
"December 31, 2011",1.133e9,,,,
"February 16, 2012",1.123e9,,,,
"March 31, 2012",1.114e9,,,,
"April 01, 2012",1.114e9,,,,
"April 09, 2012",1.114e9,,,,
"May 01, 2012",1.112e9,,,,
"June 30, 2012",1.111e9,,,,
"July 23, 2012",1.111e9,,,,
"September 30, 2012",1.112e9,,,,
"October 31, 2012",1.113e9,,,,
"December 31, 2012",1.112e9,,,,
"February 15, 2013",1.114e9,,,,
"March 31, 2013",1.117e9,,,,
"April 01, 2013",1.117e9,,,,
"April 08, 2013",1.117e9,,,,
"May 01, 2013",1.118e9,,,,
"June 30, 2013",1.119e9,,,,
"July 25, 2013",1.119e9,,,,
"September 30, 2013",1.124e9,,,,
"October 11, 2013",6.953e8,,,,
"October 30, 2013",6.954e8,,,,
"December 31, 2013",7.037e8,,,,
"February 24, 2014",7.124e8,,,,
"March 31, 2014",7.148e8,,,,
"April 01, 2014",7.148e8,,,,
"April 07, 2014",7.148e8,,,,
"April 29, 2014",7.15e8,,,,
"June 30, 2014",7.167e8,,,,
"July 29, 2014",7.175e8,,,,
"September 30, 2014",7.19e8,,,,
"October 28, 2014",7.19e8,,,,
"December 31, 2014",7.219e8,,,,
"February 19, 2015",7.229e8,,,,
"March 31, 2015",7.259e8,,,,
"April 01, 2015",7.259e8,,,,
"April 07, 2015",7.26e8,,,,
"April 29, 2015",7.262e8,,,,
"June 30, 2015",7.289e8,,,,
"July 28, 2015",7.29e8,,,,
"September 30, 2015",7.309e8,,,,
"November 03, 2015",7.312e8,,,,
"December 31, 2015",7.345e8,,,,
"February 22, 2016",7.35e8,,,,
"March 31, 2016",7.38e8,,,,
"April 01, 2016",7.369e8,,,,
"April 07, 2016",7.381e8,,,,
"May 02, 2016",7.382e8,,,,
"June 30, 2016",7.413e8,,,,
"July 28, 2016",7.415e8,,,,
"September 30, 2016",7.431e8,,,,
"October 27, 2016",7.432e8,,,,
"December 31, 2016",7.455e8,,,,
"February 23, 2017",7.518e8,,,,
"March 31, 2017",7.536e8,,,,
"April 01, 2017",7.536e8,,,,
"April 07, 2017",7.536e8,,,,
"April 27, 2017",7.537e8,,,,
"June 30, 2017",7.548e8,,,,
"July 27, 2017",7.549e8,,,,
"September 30, 2017",7.561e8,,,,
"October 26, 2017",7.561e8,,,,
"December 31, 2017",7.575e8,,,,
"February 20, 2018",7.586e8,,,,
"March 31, 2018",7.609e8,,,,
"April 01, 2018",7.609e8,,,,
"April 26, 2018",7.612e8,,,,
"April 27, 2018",7.612e8,,,,
"June 30, 2018",7.622e8,,,,
"July 26, 2018",7.624e8,,,,
"September 30, 2018",7.63e8,,,,
"November 01, 2018",7.631e8,,,,
"December 31, 2018",7.634e8,,,,
"February 21, 2019",7.638e8,,,,
"March 31, 2019",7.659e8,,,,
"April 01, 2019",7.659e8,,,,
"April 22, 2019",7.66e8,,,,
"April 25, 2019",7.66e8,,,,
"June 30, 2019",7.668e8,,,,
"August 01, 2019",7.67e8,,,,
"March 31, 2020",7.7048e8,,,,
minimum,,average,,maximum,
1.125e8,,6.677e8,,1.324e9,
"June 30, 1992",,,,"October 31, 2008",
