Date,In US dollars per year,,,,
"August 31, 2002",5.202e7,,,,
"November 30, 2002",5.098e7,,,,
"February 28, 2003",4.809999999999999e7,,,,
"May 31, 2003",4.885e7,,,,
"August 31, 2003",4.777999999999999e7,,,,
"November 30, 2003",5.021e7,,,,
"February 29, 2004",5.205e7,,,,
"May 31, 2004",5.474e7,,,,
"August 31, 2004",6.721e7,,,,
"November 30, 2004",6.746e7,,,,
"February 28, 2005",4.950999999999999e7,,,,
"May 31, 2005",5.119e7,,,,
"August 31, 2005",5.223e7,,,,
"November 30, 2005",6.104e7,,,,
"February 28, 2006",8.398e7,,,,
"May 31, 2006",9.3e7,,,,
"August 31, 2006",1.066e8,,,,
"November 30, 2006",1.182e8,,,,
"February 28, 2007",1.28e8,,,,
"May 31, 2007",1.38e8,,,,
"August 31, 2007",1.481e8,,,,
"November 30, 2007",1.456e8,,,,
"February 29, 2008",1.553e8,,,,
"May 31, 2008",1.578e8,,,,
"August 31, 2008",1.483e8,,,,
"November 30, 2008",1.366e8,,,,
"February 28, 2009",1.169e8,,,,
"May 31, 2009",9.772e7,,,,
"August 31, 2009",8.491e7,,,,
"November 30, 2009",8.880000000000001e7,,,,
"February 28, 2010",8.22e7,,,,
"May 31, 2010",8.15e7,,,,
"August 31, 2010",7.96e7,,,,
"November 30, 2010",8.07e7,,,,
"February 28, 2011",9.28e7,,,,
"May 31, 2011",9.86e7,,,,
"August 31, 2011",1.056e8,,,,
"November 30, 2011",1.111e8,,,,
"February 29, 2012",1.107e8,,,,
"May 31, 2012",1.172e8,,,,
"August 31, 2012",1.1619999999999999e8,,,,
"November 30, 2012",1.1240000000000001e8,,,,
"February 28, 2013",1.176e8,,,,
"May 31, 2013",1.157e8,,,,
"August 31, 2013",1.274e8,,,,
"November 30, 2013",1.458e8,,,,
"February 28, 2014",1.538e8,,,,
"May 31, 2014",1.659e8,,,,
"August 31, 2014",1.758e8,,,,
"November 30, 2014",1.824e8,,,,
"February 28, 2015",1.961e8,,,,
"May 31, 2015",2.1680000000000003e8,,,,
"August 31, 2015",2.221e8,,,,
"November 30, 2015",2.394e8,,,,
"February 29, 2016",2.585e8,,,,
"May 31, 2016",2.6800000000000003e8,,,,
"August 31, 2016",2.908e8,,,,
"November 30, 2016",3.041e8,,,,
"February 28, 2017",3.059e8,,,,
"May 31, 2017",3.141e8,,,,
"August 31, 2017",3.217e8,,,,
"November 30, 2017",3.115e8,,,,
"February 28, 2018",3.411e8,,,,
"May 31, 2018",3.319e8,,,,
"August 31, 2018",3.496e8,,,,
"November 30, 2018",3.577e8,,,,
"February 28, 2019",3.271e8,,,,
"May 31, 2019",3.425e8,,,,
"August 31, 2019",3.304e8,,,,
"November 30, 2019",3.078e8,,,,
minimum,,average,,maximum,
4.777999999999999e7,US dollars per year,1.573e8,US dollars per year,3.577e8,US dollars per year
"August 31, 2003",,,,"November 30, 2018",
