Date,Pure Number,,,,
"November 30, 2001",4.131e7,,,,
"December 31, 2001",4.131e7,,,,
"February 28, 2002",4.131e7,,,,
"March 31, 2002",4.135e7,,,,
"May 31, 2002",4.135e7,,,,
"June 30, 2002",4.138e7,,,,
"August 31, 2002",4.135e7,,,,
"October 24, 2002",4.144e7,,,,
"November 30, 2002",4.144e7,,,,
"December 31, 2002",4.148e7,,,,
"February 28, 2003",4.148e7,,,,
"March 31, 2003",4.152e7,,,,
"May 31, 2003",4.152e7,,,,
"June 30, 2003",4.155e7,,,,
"August 31, 2003",4.167e7,,,,
"October 23, 2003",4.176999999999999e7,,,,
"November 30, 2003",4.179e7,,,,
"January 09, 2004",4.195e7,,,,
"February 29, 2004",4.255e7,,,,
"April 02, 2004",4.259e7,,,,
"May 31, 2004",4.248e7,,,,
"June 30, 2004",4.259e7,,,,
"August 31, 2004",4.26e7,,,,
"October 25, 2004",4.242e7,,,,
"November 30, 2004",4.315000000000001e7,,,,
"December 31, 2004",4.332e7,,,,
"February 28, 2005",4.364e7,,,,
"March 29, 2005",4.413e7,,,,
"May 31, 2005",4.423e7,,,,
"July 05, 2005",4.448000000000001e7,,,,
"August 31, 2005",4.498e7,,,,
"October 25, 2005",4.501e7,,,,
"November 30, 2005",4.551e7,,,,
"December 30, 2005",4.485e7,,,,
"February 28, 2006",4.47e7,,,,
"March 31, 2006",4.49e7,,,,
"May 31, 2006",4.402999999999999e7,,,,
"June 30, 2006",4.38e7,,,,
"August 31, 2006",4.306e7,,,,
"October 25, 2006",4.305e7,,,,
"November 30, 2006",4.308e7,,,,
"December 29, 2006",4.901e7,,,,
"February 28, 2007",4.342e7,,,,
"March 30, 2007",4.344e7,,,,
"May 31, 2007",4.365e7,,,,
"August 31, 2007",4.225e7,,,,
"November 30, 2007",4.14e7,,,,
"January 04, 2008",4.102e7,,,,
"February 29, 2008",4.071e7,,,,
"April 03, 2008",4.059999999999999e7,,,,
"May 31, 2008",4.065000000000001e7,,,,
"June 27, 2008",4.066e7,,,,
"August 31, 2008",4.019999999999999e7,,,,
"October 23, 2008",4.037e7,,,,
"January 02, 2009",4.042e7,,,,
"March 31, 2009",4.091e7,,,,
"June 30, 2009",4.309e7,,,,
"August 31, 2009",4.243e7,,,,
"October 29, 2009",4.329e7,,,,
"November 16, 2009",4.327e7,,,,
"November 30, 2009",4.263e7,,,,
"January 05, 2010",4.342e7,,,,
"February 28, 2010",4.282e7,,,,
"March 29, 2010",4.349e7,,,,
"May 31, 2010",4.295e7,,,,
"June 29, 2010",4.355000000000001e7,,,,
"August 31, 2010",4.212e7,,,,
"October 28, 2010",4.281e7,,,,
"November 10, 2010",4.306e7,,,,
"November 30, 2010",4.246000000000001e7,,,,
"January 07, 2011",4.32e7,,,,
"February 28, 2011",4.26e7,,,,
"March 28, 2011",4.331000000000001e7,,,,
"May 31, 2011",4.265e7,,,,
"June 27, 2011",4.334e7,,,,
"August 31, 2011",4.149e7,,,,
"October 26, 2011",4.212e7,,,,
"November 09, 2011",4.206000000000001e7,,,,
"November 30, 2011",4.147e7,,,,
"January 05, 2012",4.211e7,,,,
"February 29, 2012",4.172e7,,,,
"April 02, 2012",4.234e7,,,,
"May 31, 2012",4.174000000000001e7,,,,
"June 29, 2012",4.235e7,,,,
"August 31, 2012",4.179e7,,,,
"October 24, 2012",4.242e7,,,,
"November 07, 2012",4.258e7,,,,
"November 13, 2012",4.277e7,,,,
"November 30, 2012",4.224e7,,,,
"January 07, 2013",4.28e7,,,,
"February 28, 2013",4.228e7,,,,
"March 28, 2013",4.284e7,,,,
"May 31, 2013",4.233e7,,,,
"June 28, 2013",4.283e7,,,,
"August 31, 2013",4.249e7,,,,
"October 25, 2013",4.293e7,,,,
"November 12, 2013",4.304e7,,,,
"November 14, 2013",4.304e7,,,,
"November 30, 2013",4.267e7,,,,
"January 07, 2014",4.306e7,,,,
"February 28, 2014",4.283e7,,,,
"March 31, 2014",4.321e7,,,,
"May 31, 2014",4.285e7,,,,
"June 27, 2014",4.321e7,,,,
"August 31, 2014",4.285999999999999e7,,,,
"October 27, 2014",4.325e7,,,,
"November 12, 2014",4.337e7,,,,
"November 30, 2014",4.311e7,,,,
"January 05, 2015",4.337e7,,,,
"February 28, 2015",4.317999999999999e7,,,,
"March 30, 2015",4.343e7,,,,
"May 31, 2015",4.32e7,,,,
"June 29, 2015",4.354e7,,,,
"August 31, 2015",4.331000000000001e7,,,,
"October 23, 2015",4.364e7,,,,
