Date,In US dollars per year,,,,
"December 31, 1984",7.33e8,,,,
"March 31, 1985",7.22e8,,,,
"June 30, 1985",6.97e8,,,,
"September 30, 1985",6.72e8,,,,
"December 31, 1985",6.53e8,,,,
"March 31, 1986",6.7e8,,,,
"June 30, 1986",700000000,,,,
"September 30, 1986",7.42e8,,,,
"December 31, 1986",7.79e8,,,,
"March 31, 1987",8.11e8,,,,
"June 30, 1987",8.529999999999999e8,,,,
"September 30, 1987",8.869999999999999e8,,,,
"December 31, 1987",9.18e8,,,,
"March 31, 1988",9.82e8,,,,
"June 30, 1988",1.0509999999999999e9,,,,
"September 30, 1988",1.098e9,,,,
"December 31, 1988",1.154e9,,,,
"March 31, 1989",1.195e9,,,,
"June 30, 1989",1.213e9,,,,
"September 30, 1989",1.224e9,,,,
"December 31, 1989",1.244e9,,,,
"March 31, 1990",1.261e9,,,,
"June 30, 1990",1.276e9,,,,
"September 30, 1990",1.305e9,,,,
"December 31, 1990",1.308e9,,,,
"March 31, 1991",1.273e9,,,,
"June 30, 1991",1.23e9,,,,
"September 30, 1991",1.19e9,,,,
"December 31, 1991",1.154e9,,,,
"March 31, 1992",1.142e9,,,,
"June 30, 1992",1.165e9,,,,
"September 30, 1992",1.207e9,,,,
"December 31, 1992",1.236e9,,,,
"March 31, 1993",1.278e9,,,,
"June 30, 1993",1.287e9,,,,
"September 30, 1993",1.265e9,,,,
"December 31, 1993",1.263e9,,,,
"March 31, 1994",1.239e9,,,,
"June 30, 1994",1.251e9,,,,
"September 30, 1994",1.276e9,,,,
"December 31, 1994",1.322e9,,,,
"March 31, 1995",1.392e9,,,,
"June 30, 1995",1.402e9,,,,
"September 30, 1995",1.405e9,,,,
"December 31, 1995",9.76e8,,,,
"March 31, 1996",9.619999999999999e8,,,,
"June 30, 1996",9.9e8,,,,
"September 30, 1996",1.044e9,,,,
"December 31, 1996",1.526e9,,,,
"March 31, 1997",1.574e9,,,,
"June 30, 1997",1.611e9,,,,
"September 30, 1997",2.1400000000000002e9,,,,
"December 31, 1997",2.121e9,,,,
"March 31, 1998",2.1110000000000002e9,,,,
"June 30, 1998",2.0790000000000002e9,,,,
"September 30, 1998",1.33e9,,,,
"December 31, 1998",1.175e9,,,,
"March 31, 1999",1.159e9,,,,
