Date,Pure Number,,,,
"December 31, 1979",9.384e8,,,,
"December 31, 1980",9.384e8,,,,
"December 31, 1981",9.397e8,,,,
"December 31, 1982",9.430999999999999e8,,,,
"December 31, 1983",9.379e8,,,,
"March 31, 1984",9.379e8,,,,
"June 30, 1984",9.365e8,,,,
"September 30, 1984",9.362e8,,,,
"December 31, 1984",9.304e8,,,,
"March 31, 1985",9.351000000000001e8,,,,
"June 30, 1985",9.183999999999999e8,,,,
"September 30, 1985",9.148999999999999e8,,,,
"December 31, 1985",9.166e8,,,,
"March 31, 1986",9.151e8,,,,
"June 30, 1986",9.202999999999999e8,,,,
"September 30, 1986",9.183999999999999e8,,,,
"December 31, 1986",9.141e8,,,,
"March 31, 1987",9.138999999999999e8,,,,
"June 30, 1987",9.16e8,,,,
"September 30, 1987",9.163e8,,,,
"December 31, 1987",9.1e8,,,,
"March 31, 1988",9.099e8,,,,
"June 30, 1988",9.109e8,,,,
"September 30, 1988",9.094e8,,,,
"December 31, 1988",8.973000000000001e8,,,,
"March 31, 1989",8.973000000000001e8,,,,
"June 30, 1989",8.973000000000001e8,,,,
"September 30, 1989",8.960000000000001e8,,,,
"December 31, 1989",8.907e8,,,,
"March 31, 1990",8.9e8,,,,
"June 30, 1990",8.879e8,,,,
"September 30, 1990",8.811999999999999e8,,,,
"December 31, 1990",8.792999999999999e8,,,,
"March 31, 1991",8.785e8,,,,
"June 30, 1991",8.797000000000001e8,,,,
"September 30, 1991",8.772e8,,,,
"December 31, 1991",8.766e8,,,,
"March 31, 1992",8.763e8,,,,
"June 30, 1992",8.759e8,,,,
"September 30, 1992",8.765e8,,,,
"December 31, 1992",8.760999999999999e8,,,,
"March 31, 1993",8.75e8,,,,
"June 30, 1993",8.679e8,,,,
"September 30, 1993",8.632e8,,,,
"December 31, 1993",8.59e8,,,,
"March 31, 1994",8.471e8,,,,
"June 30, 1994",8.449999999999999e8,,,,
"September 30, 1994",8.41e8,,,,
"December 31, 1994",8.396000000000001e8,,,,
"January 31, 1995",8.396000000000001e8,,,,
"March 31, 1995",8.398999999999999e8,,,,
"June 30, 1995",8.404e8,,,,
