date,AAP,ACN,ADBE,AFL,ALB,ALK,AOS,ATVI,AYI,MMM
2008-05-22,36.6264,28.6905,41.4,24.8868,35.8726,4.1631,4.9356,14.7215,46.8744,55.2651
2008-05-23,36.4343,28.4752,41.25,24.4543,35.2322,3.963,4.8503,14.717,45.9669,54.6666
2008-05-27,36.7705,28.9289,41.99,24.628,35.3061,4.3116,4.9244,14.9635,46.3886,54.9262
2008-05-28,38.3362,29.521,42.84,24.6354,35.963,4.2846,4.9678,14.7842,47.4152,55.4526
2008-05-29,38.999,30.7821,43.8,24.9311,36.4556,4.532,4.9594,15.1159,47.9559,56.0727
2008-05-30,38.7108,31.3896,44.06,24.8129,36.5131,4.3925,5.0588,15.1248,48.8084,55.9285
2008-06-02,38.9702,31.3435,43.46,24.4137,35.7659,4.37,5.063,15.0442,47.8368,54.9838
2008-06-03,38.9125,31.3281,43.53,24.4876,35.7741,4.4645,5.0364,15.1203,47.2868,54.9694
2008-06-04,38.951,31.0436,44.25,24.5098,36.6034,4.3858,4.951,15.2906,47.4976,55.0632
2008-06-05,40.094,31.5511,43.89,24.9866,37.5969,4.7142,5.0574,15.4609,48.4876,55.8852
2008-06-06,38.7108,30.6668,42.3,24.1882,36.4063,4.3633,4.8363,15.2458,46.7919,53.9815
2008-06-09,39.4601,30.1439,42.47,24.373,35.963,4.2306,4.8698,15.4968,45.7286,54.6738
2008-06-10,39.1527,30.3207,41.74,24.4469,35.2815,4.2328,4.9776,15.1472,46.2969,54.8036
2008-06-11,37.318,29.6594,40.77,24.3582,35.0598,3.9967,4.8838,14.8783,45.8295,54.2772
2008-06-12,37.2892,29.8824,40.99,24.5874,35.7185,4.0214,4.9006,15.1831,45.6278,54.4791
2008-06-13,37.7407,30.1362,42.71,24.9163,36.616,4.1519,4.9916,15.4027,46.3611,54.8901
2008-06-16,39.9115,30.4284,42.85,24.9459,36.5583,4.1946,5.1133,15.6671,47.7268,54.2267
2008-06-17,39.5945,30.1746,41.4,24.3693,36.6324,4.2486,4.9762,16.4289,47.736,54.0608
2008-06-18,38.5283,29.8594,40.94,24.3656,36.3278,4.0799,4.9888,16.1331,47.7176,53.5777
2008-06-19,39.2017,30.4976,42.0,24.6133,36.5419,4.4937,4.993,16.7157,49.0375,53.4479
2008-06-20,38.4514,30.0824,40.55,24.2104,35.7103,4.1384,5.014,16.0659,48.3317,52.6547
2008-06-23,37.6625,29.9439,40.37,23.837,36.5089,3.9045,4.9482,15.9673,48.68,52.6114
2008-06-24,37.1911,29.4826,41.38,23.6042,35.2656,3.8617,4.8922,15.8329,47.4702,52.2292
2008-06-25,38.5572,30.2746,42.34,23.6116,36.3196,3.9472,5.0154,15.8777,47.8735,52.3302
