date,AAP,ACN,ADBE,AFL,ALB,ALK,AOS,ATVI,AYI,MMM
2008-05-22,36.6952,28.9309,41.4,25.094,36.058,4.1631,4.9625,14.8169,47.0111,55.8222
2008-05-23,36.5027,28.7138,41.25,24.6579,35.4142,3.963,4.8767,14.8124,46.101,55.2177
2008-05-27,36.8395,29.1713,41.99,24.8331,35.4885,4.3116,4.9512,15.0604,46.5239,55.4799
2008-05-28,38.4082,29.7684,42.84,24.8405,36.1488,4.2846,4.9949,14.88,47.5535,56.0116
2008-05-29,39.0722,31.04,43.8,25.1387,36.6439,4.532,4.9864,15.2138,48.0958,56.638
2008-05-30,38.7835,31.6526,44.06,25.0194,36.7017,4.3925,5.0863,15.2228,48.9507,56.4923
2008-06-02,39.0434,31.6061,43.46,24.6169,35.9507,4.37,5.0905,15.1416,47.9763,55.5382
2008-06-03,38.9856,31.5906,43.53,24.6915,35.9589,4.4645,5.0638,15.2183,47.4248,55.5236
2008-06-04,39.0241,31.3037,44.25,24.7138,36.7925,4.3858,4.978,15.3897,47.6362,55.6183
2008-06-05,40.1693,31.8155,43.89,25.1946,37.7911,4.7142,5.0849,15.5611,48.629,56.4486
2008-06-06,38.7835,30.9237,42.3,24.3896,36.5944,4.3633,4.8626,15.3446,46.9284,54.5257
2008-06-09,39.5342,30.3964,42.47,24.5759,36.1488,4.2306,4.8964,15.5972,45.862,55.225
2008-06-10,39.2262,30.5748,41.74,24.6505,35.4637,4.2328,5.0047,15.2454,46.432,55.3561
2008-06-11,37.3881,29.9079,40.77,24.561,35.2409,3.9967,4.9104,14.9747,45.9631,54.8244
2008-06-12,37.3592,30.1328,40.99,24.7921,35.903,4.0214,4.9273,15.2815,45.7609,55.0283
2008-06-13,37.8115,30.3887,42.71,25.1238,36.8052,4.1519,5.0188,15.5025,46.4963,55.4435
2008-06-16,39.9865,30.6834,42.85,25.1536,36.7472,4.1946,5.1412,15.7686,47.866,54.7734
2008-06-17,39.6689,30.4275,41.4,24.5722,36.8217,4.2486,5.0033,16.5354,47.8752,54.6059
2008-06-18,38.6007,30.1095,40.94,24.5685,36.5155,4.0799,5.016,16.2377,47.8568,54.1179
2008-06-19,39.2753,30.7531,42.0,24.8182,36.7307,4.4937,5.0202,16.824,49.1806,53.9867
2008-06-20,38.5236,30.3344,40.55,24.4119,35.8947,4.1384,5.0413,16.17,48.4727,53.1855
2008-06-23,37.7332,30.1948,40.37,24.0355,36.6976,3.9045,4.9752,16.0708,48.822,53.1418
2008-06-24,37.261,29.7296,41.38,23.8007,35.4478,3.8617,4.9189,15.9355,47.6086,52.7558
2008-06-25,38.6296,30.5283,42.34,23.8082,36.5072,3.9472,5.0427,15.9806,48.0131,52.8578
2008-06-26,38.0706,30.125,40.83,23.4131,34.5291,3.7156,4.7416,15.6964,44.906,51.1752
2008-06-27,37.9742,32.0558,39.8,23.4988,33.9167,3.7268,4.653,15.2048,45.7517,50.629
2008-06-30,37.4248,31.5751,39.39,23.4056,33.0311,3.4502,4.6192,15.3672,44.1981,50.6872
2008-07-01,37.6561,31.3037,40.38,23.4541,33.0642,3.3062,4.6333,15.3852,43.8488,50.8256
2008-07-02,35.8249,31.3657,39.81,23.2379,32.1373,3.0813,4.4729,14.244,37.3129,49.8787
2008-07-03,35.7863,31.3347,40.39,23.2603,32.0462,3.0296,4.3983,13.9373,36.8165,50.5925
2008-07-07,36.5574,30.9082,39.72,22.9659,31.6821,3.0813,4.456,14.438,35.4192,50.8766
2008-07-08,37.1935,31.7922,39.64,23.4168,32.0379,3.3287,4.6276,14.3072,35.9616,51.7361
2008-07-09,36.1719,31.0168,38.23,22.7646,31.9883,3.0363,4.6122,13.563,34.886,49.9953
2008-07-10,35.9598,31.009,39.61,22.8652,32.2531,3.0588,4.6642,14.3297,35.8421,50.1992
2008-07-11,35.4779,30.2956,39.24,22.6304,32.129,2.654,4.6431,14.6816,34.5735,50.0536
2008-07-14,36.6345,30.4275,38.38,22.4217,32.0379,2.4583,4.6713,14.8575,35.7593,50.2721
2008-07-15,35.9213,30.001,39.83,21.6055,32.6173,2.4291,4.736,15.9129,35.3456,49.3033
2008-07-16,38.0513,30.2336,41.05,22.1757,32.2366,3.0566,4.9287,16.161,36.4248,49.9953
2008-07-17,39.3332,30.6446,41.54,22.2913,32.4435,3.4884,5.1693,16.2377,37.172,50.5853
2008-07-18,39.4874,30.5438,41.98,22.5149,32.1124,3.6796,5.1947,16.797,36.8584,50.2138
2008-07-21,38.9669,30.7144,41.16,22.1385,31.7648,3.5469,5.455,16.6075,37.255,50.0608
2008-07-22,40.3934,31.1874,40.3,22.5708,30.4985,4.1609,5.4085,16.8105,38.5924,51.2044
2008-07-23,39.9789,31.5673,41.82,22.4813,30.4158,4.2396,5.2298,16.9593,39.1182,51.5686
2008-07-24,39.3235,31.1719,40.72,19.7867,29.8364,3.8415,5.2411,16.1926,38.3711,51.7507
2008-07-25,38.7163,31.4665,40.9,20.4613,30.2916,3.9787,5.4296,15.9851,38.2973,51.6778
